أحياناً احيانا
أكثر اكثر
أوردو أردو
إنشاء انشاء
إنموذج أنموذج
احمد أحمد
اذا إذا
اكثر أكثر
الإثنين الاثنين
التي اللتي
الذي اللذي
الذين اللذين
اللذين الذين
الى إلى
الي إلى
امرء مرء
امن أمن
انا أنا
اول أول
اين أين
بطاقه بطاقة
بقا بقى
بناءً بناءا
بوابه بوابة
بوظا بوظة
تجربه تجربة
جامعه جامعة
حذاري حذار
حكومه حكومة
خدمه خدمة
رساله رسالة
سيء سيئ
سياره سيارة
سياسه سياسة
شركه شركة
شمبر شنبر
صفحه صفحة
عمله عملة
فاتوره فاتورة
فصولياء فاصولياء
قائمه قائمة
لاكن لكن
لذلك لزلك
لعبه لعبة
مئة مائة
محفظه محفظة
مدرسه مدرسة
مدينه مدينة
مسؤول مسئول
مساله مسألة
مسول مسؤول
معامله معاملة
مكالمه مكالمة
مكتبه مكتبة
نقطه نقطة
هؤلاء هئولاء
هاذا هذا
هاذه هذه
هتان هاتان
هتين هاتين
هديه هدية
هذة هذه
وظيفه وظيفة
يحيى يحيا
