# A word and its opposite, one pair per line.
# Script: LATIN.
bəli yox
yox bəli
yaxın uzaq
uzaq yaxın
varlı kasıb
kasıb varlı
tez gec
gec tez
gündüz gecə
gecə gündüz
yaxşı pis
pis yaxşı
aşağı yuxarı
yuxarı aşağı
vermək almaq
almaq vermək
isti soyuq
soyuq isti
son başlanğıc
başlanğıc son
almaq satmaq
satmaq almaq
yalan həqiqət
həqiqət yalan
kiçik böyük
böyük kiçik
sevmək nifrətetmək
nifrətetmək sevmək
yeni köhnə
köhnə yeni
alçaq hündür
hündür alçaq
açıq bağlı
bağlı açıq
dolu boş
boş dolu
sonra əvvəl
əvvəl sonra
yavaş sürətli
sürətli yavaş
uduzmaq udmaq
udmaq uduzmaq
güclü zəif
zəif güclü
asan çətin
çətin asan
işıqlı qaranlıq
qaranlıq işıqlı
içəri çöl
çöl içəri
yaş quru
quru yaş
hamısı heçnə
heçnə hamısı
həmişə heçvaxt
heçvaxt həmişə
giriş çıxış
çıxış giriş
birinci sonuncu
sonuncu birinci
çox az
az çox
təmiz çirkli
çirkli təmiz
gözəl çirkin
çirkin gözəl
xoşbəxt kədərli
kədərli xoşbəxt
səsli sakit
sakit səsli
ictimai şəxsi
şəxsi ictimai
həyat ölüm
ölüm həyat
doğru yanlış
yanlış doğru
