# Words habitually confused for each other, one group per line.
# Azerbaijani (Latin): ASCII-folded forms, ə/e, ı/i, x/h and q/g confusions,
# final devoicing, plus kbdazel keyboard-adjacency slips.
aayt sayt
aağlamlıq sağlamlıq
abali abalı
abat abad
abhaz abxaz
abi abı
abir abır
abit abid
acar açar
aci acı
acica acıca
acil açıl
acila acıla
acili acılı
acima acıma
acin acın
aciq acıq
aciq açıq
acis acış
acit acıt
aciş acış
acliq aclıq
aclıx aclıq
acma açma
acmiş acmış
acıg acıq
acıx acıq
adag adaq
adah adax
adali adalı
adas adaş
addim addım
adem adəm
adet adət
adina adına
adli adlı
adliq adlıq
adlıx adlıq
adsiz adsız
aerver server
afag afaq
afax afaq
afet afət
aftap aftab
aga ağa
agac ağac
agar ağar
agat aqat
agax agah
agca ağca
agi ağı
agil aqil
agil ağıl
agir ağır
agiz ağız
agla ağla
agna ağna
agri ağrı
agro aqro
agus ağuş
ahan axan
ahar axar
ahil ahıl
ahma axma
ahmaq axmaq
ahmaz axmaz
ahnaş axnaş
ahsa axsa
ahsaq axsaq
ahsat axsat
ahta axta
ahtar axtar
ahund axund
ahur axur
ahı axı
ahıcı axıcı
ahım axım
ahın axın
ahır axır
ahırı axırı
ahıt axıt
ahış axış
ahşam axşam
ahənk ahəng
aifariş sifariş
aile ailə
ait aid
alag alaq
alahi alahı
alali alalı
alax alaq
alaxı alahı
alaçi alaçı
aldir aldır
alem aləm
alet alət
algi alğı
alici alıcı
alin alın
aliq alıq
alis alış
aliş alış
allax allah
alliq allıq
allıx allıq
alqiş alqış
alti altı
alçax alçaq
alği alğı
alıg alıq
alıx alıq
amani amanı
amciq amcıq
amcıx amcıq
amyöp amyöb
anali analı
anas anaş
ancax ancaq
andir andır
andiz andız
anil anıl
anlax anlaq
anot anod
anqir anqır
anri anrı
ant and
apag apağ
arag araq
arali aralı
arax araq
araçi araçı
ardi ardı
ardic ardıc
ardıç ardıc
argo arqo
arh arx
arha arxa
arhac arxac
arhiv arxiv
ari arı
arin arın
ariq arıq
arit arıt
ariçi arıçı
arli arlı
armut armud
arsiz arsız
artim artım
artiq artıq
artir artır
artiş artış
artıx artıq
arvat arvad
arxaç arxac
arıg arıq
arıx arıq
asdir asdır
asgı asqı
asi aşı
asil asıl
asili asılı
asin aşın
asiq aşiq
asiq aşıq
asir aşır
asla aşla
asli aşlı
asma aşma
asna aşna
aspit aspid
asqi asqı
asqir asqır
atali atalı
atci atçı
atdir atdır
ates atəş
ateş atəş
atici atıcı
atil atıl
atim atım
atis atış
atiş atış
atli atlı
atliq atlıq
atlıx atlıq
atsiz atsız
atçi atçı
aumqayıt sumqayıt
avant avand
avazi avazı
axi axı
axici axıcı
axim axım
axin axın
axir axır
axiri axırı
axis axış
axit axıt
axiş axış
axmax axmaq
axsax axsaq
axu ahu
axunt axund
axıl ahıl
axəng ahəng
ayag ayaq
ayax ayaq
ayazi ayazı
aydin aydın
aye ayə
ayi ayı
ayib ayıb
ayil ayıl
ayilt ayılt
ayiq ayıq
ayir ayır
ayis ayış
ayiş ayış
ayliq aylıq
aylıx aylıq
aylə ailə
ayraç ayrac
ayri ayrı
ayric ayrıc
ayril ayrıl
ayrıç ayrıc
aysiz aysız
ayğir ayğır
ayıg ayıq
ayıp ayıb
ayıx ayıq
azat azad
azdir azdır
azi azı
azix azıx
azliq azlıq
azlıx azlıq
azmiş azmış
azğin azğın
azıh azıx
açdir açdır
açil açıl
açiq açıq
açiği açığı
açmax açmaq
açıg açıq
açıx açıq
ağaç ağac
aği ağı
ağil ağıl
ağila ağıla
ağili ağılı
ağir ağır
ağiz ağız
ağiçi ağıçı
ağliq ağlıq
ağlıx ağlıq
ağnax ağnaq
ağri ağrı
ağrit ağrıt
aşaği aşağı
aşi aşı
aşig aşiq
aşila aşıla
aşin aşın
aşir aşır
aşirt aşırt
aşix aşiq
aşli aşlı
aşıg aşıq
aşıx aşıq
baci bacı
bade badə
bag bağ
baga bağa
bah bax
bahma baxma
baht baxt
bahya baxya
bahıl baxıl
bahım baxım
bahış baxış
balax balaq
baliq balıq
baliş balış
balli ballı
balçi balçı
balıx balıq
banq bank
bap bab
bari barı
barin barın
barit barıt
bariş barış
barli barlı
bas baş
basiq basıq
basqi basqı
basıx basıq
batax bataq
batiq batıq
batir batır
batıx batıq
baxa baha
baxar bahar
baxil baxıl
baxim baxım
baxiş baxış
baxəm bahəm
bayax bayaq
bayil bayıl
bayir bayır
baç bac
bağir bağır
bağli bağlı
bağçi bağçı
başli başlı
başçi başçı
bebe bəbə
bece beçə
bed bəd
bedr bədr
behs bəhs
bela bəla
bele belə
bele bələ
beli bəli
bem bəm
bena bəna
bend bənd
beng bəng
bere bərə
beri bəri
berk bərk
berq bərq
bes beş
betn bətn
bex beh
bexli behli
bexlə behlə
bext bəxt
bey bəy
beze bəzə
bezi bəzi
beçe beçə
bic biç
big bığ
bik bık
bine binə
bire birə
bis biş
bitap bitab
biveç bivec
bixuş bihuş
biçaq bıçaq
biçqi bıçqı
biğ bığ
biğli bığlı
blog bloq
blox bloq
bog boğ
bol böl
bolit bolid
bork börk
bors borş
borç borc
bos boş
bosa boşa
bov böv
boyax boyaq
boye böyə
boyu böyü
boğux boğuq
brig briq
brix briq
briç bric
bronh bronx
bucax bucaq
budax budaq
bug buğ
buga buğa
buhaq buxaq
buhar buxar
buhov buxov
buhta buxta
buk bük
bulax bulaq
bulut bulud
burah burax
burc bürc
buro büro
buru bürü
burux buruq
buse busə
bust büst
but bud
but büt
buxax buxaq
buz büz
böye böyə
bühur büxur
bürç bürc
bıçax bıçaq
bəht bəxt
bələt bələd
bənk bəng
bənt bənd
bərg bərq
bərx bərq
bət bəd
bəxrə bəhrə
bəxs bəhs
bəxər bəhər
cag cağ
cag çağ
cal çal
calax calaq
camiş camış
cani canı
canim canım
canli canlı
cap çap
car çar
carçi carçı
cas çaş
cat çat
cavap cavab
cax çax
caxan cahan
caxil cahil
caxıl cahıl
cay çay
cebr cəbr
cedd cədd
cefa cəfa
cehd cəhd
cehl cəhl
cek çek
cek çək
celd cəld
cele cələ
cem cəm
cem çəm
cemi cəmi
cen çən
ceng cəng
cep çəp
cergi vergi
cex çex
cexiz cehiz
ceza cəza
cezb cəzb
chixish çıxış
cideo video
cidir cıdır
cidt cidd
cig çığ
ciga ciqa
cihat cihad
cil çil
ciliz cılız
cilt cild
cilxa cılxa
cim çim
cin çin
cinax cinah
cir cır
cire cirə
cit çit
civ çiv
cive civə
cix çıx
cixad cihad
cixaz cihaz
ciy çiy
ciz cız
coge cögə
cok çök
coke cökə
col çöl
com çöm
con çön
cop çöp
corap corab
cos coş
cot cod
cox çox
coz çöz
cuce cücə
cucu cücü
cul çul
cume cümə
cur cür
cus cuş
cut cüt
cuz cüz
cuzi cüzi
cöge cögə
cöke cökə
cüce cücə
cüme cümə
cılha cılxa
cırıx cırıq
cızıx cızıq
cəbxə cəbhə
cədt cədd
cəht cəhd
cəlt cəld
cənap cənab
cənk cəng
cənup cənub
cəsət cəsəd
cəxd cəhd
cəxl cəhl
cəxrə cəhrə
cəzp cəzb
dabax dabaq
daca daça
dadıh dadıx
dag dağ
daga dağa
dahil daxil
dahma daxma
dahıl daxıl
dalax dalaq
dali dalı
damax damaq
darax daraq
dari darı
darıh darıx
das daş
dasi daşı
dat dad
daxa daha
daxi dahi
dayax dayaq
daye dayə
dayi dayı
daşi daşı
deb dəb
dec dəc
dede dədə
def dəf
defe dəfə
defn dəfn
dek dək
del dəl
dele dələ
deli dəli
dem dəm
deme demə
den dən
dene dənə
deni dəni
der dər
derd dərd
dere dərə
