# A word and its opposite, one pair per line.
# Script: CYRILLIC.
да не
не да
близо далеч
далеч близо
богат беден
беден богат
рано късно
късно рано
ден нощ
нощ ден
добър лош
лош добър
долу горе
горе долу
дай вземи
вземи дай
горещ студен
студен горещ
край начало
начало край
купи продай
продай купи
лъжа истина
истина лъжа
малък голям
голям малък
обичам мразя
мразя обичам
нов стар
стар нов
нисък висок
висок нисък
отворен затворен
затворен отворен
пълен празен
празен пълен
след преди
преди след
бавен бърз
бърз бавен
загуби спечели
спечели загуби
силен слаб
слаб силен
лесен труден
труден лесен
светъл тъмен
тъмен светъл
вътре вън
вън вътре
мокър сух
сух мокър
всичко нищо
нищо всичко
винаги никога
никога винаги
вход изход
изход вход
първи последен
последен първи
много малко
малко много
чист мръсен
мръсен чист
красив грозен
грозен красив
щастлив тъжен
тъжен щастлив
шумен тих
тих шумен
публичен частен
частен публичен
живот смърт
смърт живот
