# Words habitually confused for each other, one group per line.
# Bulgarian: й written as и, final devoicing, unstressed а/ъ, о/у and е/и,
# щ written шт, definite-article -а/-ът, plus kbdbgph adjacency slips.
аайт сайт
агал ъгъл
агни агне
адит адет
адреса адресът
ажиу ажио
азоиски азойски
азут азот
аигурност сигурност
аиляк айляк
аиран айран
аисберг айсберг
акал акъл
акар акър
акаунта акаунтът
акни акне
акорт акорд
актиф актив
актйор актьор
актоф актов
акцис акциз
алин ален
алия алея
алкит алкид
алои алое
алпиика алпийка
алтан алтън
алтоф алтов
алуе алое
аметка сметка
амонии амоний
анимка снимка
анот анод
ануд анод
анцук анцуг
аофия софия
апил апел
апогеи апогей
ариика арийка
арииски арийски
артак артък
архиф архив
атул атол
атум атом
аъобщение съобщение
аървър сървър
бабля бъбля
бабря бъбря
бабу бабо
багаш багаж
бада бъда
бадат бъдат
баде бъде
бадел бъдел
баден бъден
бадех бъдех
бадеш бъдеш
бадещ бъдещ
бади бъди
баз бъз
базак бъзак
базе бъзе
базла бъзла
базоф базов
баико байко
баиков байков
баино байно
баинов байнов
баио байо
баионет байонет
баирак байрак
баираче байраче
баит байт
баиц байц
баицвам байцвам
баичо байчо
байу байо
бакам бъкам
бакар бакър
бакел бъкел
балак балък
баламштина баламщина
балха бълха
бараш бараж
бардо бърдо
барже бърже
барз бърз
барна бърна
барт бард
барча бърча
барша бърша
басеин басейн
басоф басов
бати бате
бахтя бъхтя
бачва бъчва
бачу бачо
башта баща
баштин бащин
баштиния бащиния
баштински бащински
баштинство бащинство
баштица бащица
баштицата бащицата
баштици бащици
баштиците бащиците
баштицо бащицо
баштичко бащичко
бегал бегъл
бежоф бежов
безброи безброй
безкраи безкрай
беи бей
беизбол бейзбол
беиов бейов
беиски бейски
бейоф бейов
бек бег
бележешт бележещ
бележешта бележеща
бележешти бележещи
бележештия бележещия
бележешто бележещо
белек белег
бес без
бесат бесът
бибе бебе
бида беда
бидеики бидейки
биди биде
бидя бедя
бики беки
били биле
билу било
биля беля
биозаштита биозащита
биса беса
бися беся
бита бета
битоф битов
бичи биче
бише беше
благодара благодаря
блак благ
блаф блъф
блеизър блейзър
блет блед
блештукам блещукам
блештукане блещукане
блештя блещя
блид блед
блия блея
блук блок
боас боаз
бобар бобър
бобоф бобов
бобслеи бобслей
бовини новини
бодар бодър
бодеш бодеж
бозаф бозав
боико бойко
боикост бойкост
боикот бойкот
боилер бойлер
боин боен
боиник бойник
боиница бойница
боиц боец
бок бог
болит болид
бони боне
боноф бонов
боп боб
бордеи бордей
бореи борей
бороф боров
борт борд
бот бод
браз бръз
браилов брайлов
браниште бранище
бреи брей
бреиди брейди
бридш бридж
брий брей
брис бриз
броика бройка
броилер бройлер
бронс бронз
брот брод
бруд брод
брум бром
бруя броя
бръс бръз
бръснешт бръснещ
бръштолевя бръщолевя
бряк бряг
бряс бряз
буаз боаз
буда бода
буец боец
буже боже
бужи божи
буин буен
буиност буйност
буиство буйство
букоф буков
букс бокс
булеф булев
булт болт
булу було
буне боне
буниште бунище
бурд борд
бури буре
бурч борч
бурш борш
бъдеики бъдейки
бъдешт бъдещ
бъдеште бъдеще
бъдештност бъдещност
бъзи бъзе
бъзоф бъзов
бързеи бързей
бърс бърз
бъс бъз
бюру бюро
бяк бяг
вав във
вавра въвра
вавре въвре
ваври въври
вавря въвря
важар въжар
важе въже
ваз въз
вазел възел
ваззе въззе
ваикам вайкам
ваикане вайкане
вакал вакъл
валеш валеж
вали вале
валк вълк
вална вълна
валче вълче
валчи вълчи
ван вън
ванка банка
ванка вънка
варба върба
варвя вървя
варжа вържа
варл върл
варна върна
вароф варов
вартя въртя
варха върха
варху върху
варша върша
вася въся
ватак вътък
ватор вътор
ватре вътре
вашка въшка
вашла въшла
вгана вгъна
вдан вдън
ведар ведър
вездесъшт вездесъщ
везплатно безплатно
веика вейка
вереф верев
веруюшт верующ
вету вето
вешт вещ
вештаене вещаене
вештател вещател
вештая вещая
вештеви вещеви
вештен вещен
вештерица вещерица
вештествен веществен
вештество вещество
вештина вещина
вештица вещица
взвот взвод
взил взел
взит взет
взих взех
взриф взрив
взур взор
видоф видов
визоф визов
визя везя
викарии викарий
виля веля
вими виме
вину вино
вираш вираж
вири вери
вист вест
вит вид
вито вето
вихар вихър
вихт вехт
вици вице
виче вече
виш виж
вишестояшт вишестоящ
вкащи вкъщи
вклештвам вклещвам
вклештване вклещване
вклештя вклещя
вкъшти вкъщи
влагалиште влагалище
властвашт властващ
влес влез
влиз влез
влик влек
влия влея
влок влог
влуг влог
внус внос
воаиор воайор
вобще въобще
водешт водещ
водолеи водолей
водопои водопой
военштина военщина
вожт вожд
вои вой
воивода войвода
воин войн
воина война
воиник войник
воиника войника
воинико войнико
воиници войници
воиниче войниче
воиска войска
воиште воище
волеф волев
вонешт вонещ
вонештица вонещица
вопал вопъл
восак восък
воштеница вощеница
впреки въпреки
впряк впряг
впуштам впущам
врав връв
враз връз
врак враг
врастяшт врастящ
врастяшта врастяща
врастяшти врастящи
врастяштия врастящия
врастяшто врастящо
врах връх
врача връча
врежешт врежещ
врежешта врежеща
врежештата врежещата
врежешти врежещи
врежештите врежещите
врежештия врежещия
врежештият врежещият
врежешто врежещо
врежештото врежещото
врет вред
врештене врещене
врештя врещя
врид вред
врим врем
вриш вреш
връс връз
връф връв
връштам връщам
връштане връщане
всаде всъде
всевиждашт всевиждащ
всезнаешт всезнаещ
всемогъшт всемогъщ
всемоштен всемощен
всеноштен всенощен
всеобшт всеобщ
всия всея
всрет всред
всуи всуе
всъштност всъщност
всякои всякой
втака втъка
втаче втъче
втачи втъчи
втрештвам втрещвам
втрештване втрещване
втрештен втрещен
втрештя втрещя
втрештявам втрещявам
втъчешт втъчещ
втъчешта втъчеща
втъчештата втъчещата
втъчешти втъчещи
втъчештите втъчещите
втъчештия втъчещия
втъчештият втъчещият
втъчешто втъчещо
втъчештото втъчещото
вуал воал
вуда вода
вудя водя
вужд вожд
вузя возя
вуин воин
вуина вуйна
вуичо вуйчо
вуичов вуйчов
вуйн войн
вулт волт
вулю волю
вуля воля
вуня воня
вургас бургас
вус вуз
вуят воят
входяшт входящ
вхот вход
вхуд вход
въглишта въглища
въглиштар въглищар
въглиштата въглищата
въглиштен въглищен
въжи въже
възвръштам възвръщам
въздъх въздух
възмъжеешт възмъжеещ
възходяшт възходящ
вългария българия
въобште въобще
въпиешт въпиещ
вършеешт вършеещ
вършеешта вършееща
вършеешти вършеещи
вършеештия вършеещия
вършеешто вършеещо
вършеи вършей
въс въз
въф във
вярвашт вярващ
вятар вятър
габа гъба
габав гъбав
габар габър
габар гъбар
габен гъбен
гавак гъвък
гагна гъгна
гадел гъдел
газоф газов
гаида гайда
гаидар гайдар
гаика гайка
гаиле гайле
гаитан гайтан
гакам гъкам
галаб гълъб
галча гълча
гамжа гъмжа
гамза гъмза
гана гъна
ганаика ганайка
ганка гънка
гараш гараж
гарба гърба
гарбя гърбя
гарда гърда
гарка гърка
гарко гърко
гарло гърло
гарля гърля
гарма гърма
гармя гърмя
гарна гърна
гарне гърне
гароф гаров
гарт гард
гарци гърци
гарч гърч
гарча гърча
гас газ
гасар гъсар
гасе гъсе
гаска гъска
гаснешт гаснещ
гасок гъсок
гаст гъст
гат гад
гатам гътам
гатна гътна
гачи гаче
гаши гъши
гаштат гащат
гаштета гащета
гаштетата гащетата
гашти гащи
гаштите гащите
гаштички гащички
гаштичките гащичките
гаштник гащник
гвоздеи гвоздей
геизер гейзер
геим гейм
геиша гейша
гении гений
герои герой
герп герб
гету гето
гига гега
гийм гейм
гипя гепя
гирб герб
гит гид
гито гето
гиши гише
глат глад
глач глъч
гледиште гледище
глич глеч
глок глог
глуг глог
глушеи глушей
гнит гнет
гноиник гнойник
гнум гном
гнуя гноя
гняф гняв
годеш годеж
годи годе
голоф голов
гонк гонг
горак горък
гори горе
горт горд
готоф готов
граб гръб
града градът
граифер грайфер
грак грък
грант гранд
грат град
греивам грейвам
греидер грейдер
греика грейка
греина грейна
грия грея
грозт грозд
грок грог
гроп гроб
груг грог
грунт грунд
груп груб
грут грот
груш грош
гръп гръб
грът гръд
гуде годе
гудя годя
гулф голф
гуляи гуляй
гунг гонг
гуня гоня
гура гора
гурд горд
гуре горе
гуря горя
густ гост
гушаф гушав
гъбаф гъбав
гълъп гълъб
гъси гъсе
гьул гьол
гьун гьон
гюли гюле
гюлоф гюлов
гюми гюме
даб дъб
дабак дъбак
дабов дъбов
давка дъвка
давча дъвча
дага дъга
дагов дъгов
дажд дъжд
дажи даже
даире дайре
далаг дълъг
далг дълг
далжа дължа
даму дамо
дан дън
данак данък
данен дънен
данер дънер
данки дънки
дану дано
даня дъня
дарва дърва
дарво дърво
даржи държи
дарля дърля
дарма дърма
дарт дърт
даска дъска
дах дъх
дахав дъхав
дахам дъхам
дахна дъхна
дваисе двайсе
дваисти двайсти
дваш дваж
двоика двойка
двоиник двойник
двубои двубой
двур двор
двуя двоя
девис девиз
девоика девойка
девоики девойки
