# A word and its opposite, one pair per line.
# Bangla (Bengali script). Graphemes from CLDR exemplarCharacters for bn.
অন্ধকার আলো
ভেতরে বাইরে
ভালো খারাপ
সামনে পেছনে
আসা যাওয়া
সহজ কঠিন
আলো অন্ধকার
উঁচু নিচু
উপরে নিচে
কঠিন সহজ
কম বেশি
দুর্বল শক্তিশালী
কেনা বেচা
খোলা বন্ধ
গরম ঠান্ডা
ভুল সঠিক
ছোট বড়
যাওয়া আসা
জয় পরাজয়
বেশি কম
মিথ্যা সত্য
ঠান্ডা গরম
দ্রুত ধীর
ডান বাম
দূর কাছে
ধীর দ্রুত
নতুন পুরাতন
না হ্যাঁ
বেঁটে লম্বা
নিচু উঁচু
নিচে উপরে
পাতলা মোটা
কাছে দূর
পেছনে সামনে
পুরাতন নতুন
বন্ধ খোলা
বড় ছোট
বাম ডান
বাইরে ভেতরে
খারাপ ভালো
বেচা কেনা
ভারী হালকা
শক্তিশালী দুর্বল
মোটা পাতলা
লম্বা বেঁটে
সত্য মিথ্যা
সঠিক ভুল
হালকা ভারী
হ্যাঁ না
পরাজয় জয়
নিরাপদ অনিরাপদ
আসল নকল
বৈধ অবৈধ
প্রকাশ্য গোপন
শুরু শেষ
শেষ শুরু
