0 nula
1 jeden první
2 dva druhý
3 tři třetí
4 čtyři čtvrtý
5 pět pátý
6 šest šestý
7 sedm sedmý
8 osm osmý
9 devět devátý
10 deset desátý
11 jedenáct jedenáctý
12 dvanáct dvanáctý
13 třináct třináctý
14 čtrnáct čtrnáctý
15 patnáct patnáctý
16 šestnáct šestnáctý
17 sedmnáct sedmnáctý
18 osmnáct osmnáctý
19 devatenáct devatenáctý
20 dvacet dvacátý
30 třicet třicátý
40 čtyřicet čtyřicátý
50 padesát padesátý
60 šedesát šedesátý
70 sedmdesát sedmdesátý
80 osmdesát osmdesátý
90 devadesát devadesátý
100 sto stý
1000 tisíc tisící
1000000 milion miliontý
1000000000 miliarda miliardtý
