alt neu
anfangen aufhören
arm reich
aufhören anfangen
außen innen
dunkel hell
falsch wahr
fern nah
früh spät
geben nehmen
geschlossen offen
gewinnen verlieren
gross klein
groß klein
gut schlecht
hassen lieben
heiß kalt
hell dunkel
hoch niedrig
innen außen
ja nein
kalt heiß
kaufen verkaufen
klein groß gross
langsam schnell
leer voll
leicht schwer
lieben hassen
nach vor
nacht tag
nah fern
nehmen geben
nein ja
neu alt
niedrig hoch
oben unten
offen geschlossen
reich arm
schlecht gut
schnell langsam
schwach stark
schwer leicht
spät früh
stark schwach
tag nacht
unten oben
verkaufen kaufen
verlieren gewinnen
voll leer
vor nach
wahr falsch
