uber über
strasse straße
fuenf fünf
addresse adresse
agressiv aggressiv
akkupunktur akupunktur
akkustik akustik
aparat apparat
apell appell
artzt arzt
athmosphäre atmosphäre
authorisieren autorisieren
balett ballett
bischen bisschen
bilard billard
billiard billard
bombadieren bombardieren
brilliant brillant
biskwit biskuit
büffett büfett
karisma charisma
chrysanteme chrysantheme
dilletant dilettant
dillettant dilettant
dillettantisch dilettantisch
detalliert detailliert
diffiziel diffizil
dekolltee dekolleté
diphterie diphtherie
diarröh diarrhö
elephant elefant
ergebniss ergebnis
excellent exzellent
emphatie empathie
eifelturm eiffelturm
entgültig endgültig
eigendlich eigentlich
einzigste einzig
ärgerniss ärgernis
amatur armatur
atrappe attrappe
anullieren annullieren
antiphatie antipathie
author autor
apartheit apartheid
fittness fitness
frohnleichnahm fronleichnam
frohndienst frondienst
gallerie galerie
gelantine gelatine
gallionsfigur galionsfigur
gesammt gesamt
galloppieren galoppieren
gradwanderung gratwanderung
gaderobe garderobe
grießgrämig griesgrämig
gebähren gebären
gröhlen grölen
gebahren gebaren
guerillia guerilla
gekko gecko
hahnebüchen hanebüchen
harsadeur hasardeur
hobbie hobby
hobbies hobbys
ingeneur ingenieur
interesant interessant
interresse interesse
jakett jackett
karrosserie karosserie
konkurenz konkurrenz
karrussell karussell
korigieren korrigieren
katastrofal katastrophal
koriphäe koryphäe
katastrofe katastrophe
krakehlen krakeelen
kollossal kolossal
kollosal kolossal
kreissaal kreißsaal
kommitee komitee
kummulieren kumulieren
komentar kommentar
komilitone kommilitone
lapalie lappalie
läßt lässt
looser loser
lybien libyen
mandariene mandarine
miesere misere
maschiene maschine
mobilar mobiliar
minnimal minimal
nähmlich nämlich
paralell parallel
parallell parallel
persöhnlich persönlich
phillipinen philippinen
panel paneel
pinwand pinnwand
pappenstil pappenstiel
plazieren platzieren
pabst papst
progrom pogrom
portemonee portemonnaie
perifer peripher
präfferieren präferieren
rauh rau
ressurce ressource
redundand redundant
resümmee resümee
reeling reling
retorik rhetorik
rennome renommee
rythmus rhythmus
renntier rentier
rückgrad rückgrat
reperatur reparatur
sattelit satellit
spatzieren spazieren
schlawittchen schlafittchen
spühlen spülen
seperat separat
standart standard
silouette silhouette
sylvester silvester
strofe strophe
syphon siphon
subsummieren subsumieren
sisiphusarbeit sisyphusarbeit
subtiel subtil
skurill skurril
symetrie symmetrie
souterain souterrain
symphatie sympathie
sympatisch sympathisch
terrabyte terabyte
terasse terrasse
tollerant tolerant
tolleranz toleranz
tieger tiger
trielogie trilogie
triumf triumph
übrigends übrigens
unendgeltlich unentgeltlich
unsympatisch unsympathisch
verwandschaftlich verwandtschaftlich
vorraussichtlich voraussichtlich
verzeichniss verzeichnis
vieleicht vielleicht
vermeindlich vermeintlich
vorraussetzung voraussetzung
verpöhnt verpönt
verwandschaft verwandtschaft
wiederspruch widerspruch
widerum wiederum
ziehmlich ziemlich
zuchini zucchini
aquise akquisition
