0 null
1 eins erste
2 zwei zweite
3 drei dritte
4 vier vierte
5 fünf fünfte
6 sechs sechste
7 sieben siebte
8 acht achte
9 neun neunte
10 zehn zehnte
11 elf elfte
12 zwölf zwölfte
13 dreizehn dreizehnte
14 vierzehn vierzehnte
15 fünfzehn fünfzehnte
16 sechzehn sechzehnte
17 siebzehn siebzehnte
18 achtzehn achtzehnte
19 neunzehn neunzehnte
20 zwanzig zwanzigste
30 dreißig dreißigste
40 vierzig vierzigste
50 fünfzig fünfzigste
60 sechzig sechzigste
70 siebzig siebzigste
80 achtzig achtzigste
90 neunzig neunzigste
100 hundert hundertste
1000 tausend tausendste
1000000 million millionste
1000000000 milliarde milliardste
