αγγέλω αγγέλλω
αγυρτία αγυρτεία
αγόρι αγώρι
αδελαίδα αδελαΐδα
αδελαϊδα αδελαΐδα
ακριλικός ακρυλικός
αμβώνας άμβωνας
αναγγέλω αναγγέλλω
αναζητηση αναζήτηση
ανακάθησα ανακάθισα
αναψοκοκκίνησα αναψοκοκκίνισα
αποστολη αποστολή
αρχιστρατηγός αρχιστράτηγος
ασατύριστος ασατίριστος
ασφαλεια ασφάλεια
ασφαλης ασφαλής
βερύκοκκο βερίκοκο
βιρύλλιο βηρύλλιο
βοιοτία βοιωτία
βράδι βράδυ
βρωμάω βρομάω
βρωμώ βρομώ
γάϊδαρε γάιδαρε
γάϊδαρο γάιδαρο
γάϊδαροι γάιδαροι
γκρέϊπφρουτ γκρέιπφρουτ
διευθυνση διεύθυνση
διεύθηνση διεύθυνση
δωρεαν δωρεάν
εγγραφη εγγραφή
εκπτωση έκπτωση
εμφιαλομένο εμφιαλωμένο
ενδιαφέρον ενδιαφέρων
ενημερωση ενημέρωση
επιβεβαιωση επιβεβαίωση
επικοινωνια επικοινωνία
επιτροπι επιτροπή
ευρό ευρώ
εφαρμογη εφαρμογή
εχθές χθες
ζιβελίνα ζιμπελίνα
ηλεκτρονικο ηλεκτρονικό
ιστοσελιδα ιστοσελίδα
κάκα κακά
κέϊκ κέικ
καινούριος καινούργιος
καλητερα καλύτερα
κανώνας κανόνας
καρτα κάρτα
καταστημα κατάστημα
κεϊκ κέικ
κλεψύθρα κλεψύδρα
κωδικος κωδικός
κόγγο κονγκό
κόκκορας κόκορας
λίχτενστάιν λιχτενστάιν
λιχτενστάϊν λιχτενστάιν
λογαριασμος λογαριασμός
λυώνω λιώνω
λύπη λείπη
μάγγο μάνγκο
μάϊσνερ μάισνερ
μαστρωπός μαστροπός
μεσοπρωτεροζωικός μεσοπροτεροζωικός
μπακαλάος βακαλάος
μπορώ μπορό
νομήζω νομίζω
ξέρο ξέρω
ξενοδοχουπάλληλος ξενοδοχοϋπάλληλος
ξυπόλητος ξυπόλυτος
ολόκρηρος ολόκληρος
ομολογιέμαι ομολογούμαι
ομολογιέται ομολογείται
οχι όχι
πίστη πύστη
παραγγελια παραγγελία
παραδοση παράδοση
πελατης πελάτης
περιμένω περιμαίνω
πηγαίνω παγαίνω
πληρωμη πληρωμή
προσφορα προσφορά
ρόγα ρώγα
συγνωμη συγγνώμη
συγνώμη συγγνώμη
συνδεση σύνδεση
ταυτοτητα ταυτότητα
τηλεφονο τηλέφωνο
τιμολογιο τιμολόγιο
τουλάχιστον τουλάχιστο
τραπεζα τράπεζα
τρώγω τρόγω
υπηρεσια υπηρεσία
υποστηριξη υποστήριξη
φιτίνη φυτίνη
φυσικά φησικά
χρήματα χρίματα
χρηστης χρήστης
