informacion información
telefono teléfono
corazon corazón
nino niño
senor señor
anios años
camion camión
cancion canción
educacion educación
haber haver
haber aver
haiga haya
hechar echar
hiba iba
aser hacer
ablar hablar
aora ahora
aki aqui
haci asi
enves envés
exhorbitante exorbitante
extranjero estranjero
absorver absorber
adhesion adhesión
alrrededor alrededor
aprobar aprovar
asímismo asimismo
beteranos veteranos
biseversa viceversa
concenso consenso
concientizar concienciar
conciente consciente
convinar combinar
cuidad ciudad
desapercibido inadvertido
dijistes dijiste
enrrollar enrollar
escusa excusa
espontaneo espontáneo
estube estuve
excéptico escéptico
exhuberante exuberante
expontaneo espontáneo
hexagerar exagerar
hicistes hiciste
idiosincracia idiosincrasia
inagurar inaugurar
inflacción inflación
influenciar influir
maniquís maniquíes
metereologia meteorología
nadien nadie
obscuro oscuro
preveer prever
quizas quizás
resfrío resfriado
satisfació satisfizo
soviético sovietico
suscribir subscribir
tranquilino tranquilo
transtorno trastorno
veniste viniste
verguenza vergüenza
