aallottainen aalloittainen
agressiivinen aggressiivinen
apikoliitin abikoliitin
apikopihti abikopihti
apsidi absidi
asthangajooga astangajooga
balttia baltia
biisami piisami
bubi pubi
enen ennen
ensimmäinen ensimäinen
entisöidä entistää
entrecote entrecôte
epähygieninen epähygieeninen
hierarkinen hierarkkinen
hoffmaninlaiskiainen hoffmanninlaiskiainen
hygieninen hygieeninen
jauhenliha jauheliha
jtk jtkn
kalkkeripaperi kalkeeripaperi
kampailu kamppailu
kannattaa kannatta
karolinki karolingi
kraateri kraatteri
kumpa kunpa
kysymys kysmys
käytää käyttää
lapiskynä laapiskynä
lipputangonnuppi lipputanko
läpäri läppäri
mahdollisimman mahdollisiman
massai maasai
meny menyy
mimosa mimoosa
minervapöllö minervanpöllö
mita mitä
myöden myöten
myöskin myös
naivi naiivi
naivin naiivin
neljö neliö
niimpä niinpä
ollet olleet
onnittelut onnitelut
onpi ompi
orkesterointi orkestrointi
pelmeeni pelmeni
poyta pöytä
rauhottua rauhoittua
renesanssi renessanssi
romaani romani
sabayone sabayon
sairaanloinen sairaalloinen
sateliitti satelliitti
seuraava seurava
sina sinä
stukturoida strukturoida
subraktiivinen subtraktiivinen
suomalainen suomlainen
suureellinen suurellinen
syo syö
syoda syödä
taitelija taiteilija
talla tällä
tama tämä
tassa tässä
töttörö tötterö
valtionvarainministeri valtiovarainministeri
vihkijäiset vihkiäiset
viivotin viivoitin
vuorottainen vuoroittainen
yhteensä yhtensä
yhtinen yhteinen
yo yö
