acheter vendre
ancien nouveau
arriver partir
bas haut
bien mal
bon mauvais
chaud froid
difficile facile
donner prendre
entrer sortir
facile difficile
faible fort
faux vrai
fermer ouvrir
fort faible
froid chaud
gagner perdre
grand petit
haut bas
heureux triste
impossible possible
jamais toujours
jeune vieux
jour nuit
loin proche
mal bien
mauvais bon
non oui
nouveau ancien
nuit jour
oui non
ouvrir fermer
partir arriver
pauvre riche
perdre gagner
petit grand
plein vide
possible impossible
prendre donner
proche loin
riche pauvre
sortir entrer
tard tot
tot tard
toujours jamais
triste heureux
vendre acheter
vide plein
vieux jeune
vrai faux
