अँधेरा उजला
अंदर बाहर
अच्छा बुरा
आगे पीछे
आना जाना
आसान कठिन
उजला अँधेरा
ऊँचा नीचा
ऊपर नीचे
कठिन आसान
कम ज्यादा
कमजोर मजबूत
खरीदना बेचना
खुला बंद
गर्म ठंडा
गलत सही
छोटा बड़ा
जाना आना
जीत हार
ज्यादा कम
झूठ सच
ठंडा गर्म
तेज़ धीमा
दायाँ बायाँ
दूर पास
धीमा तेज़
नया पुराना
नहीं है
नाटा लंबा
नीचा ऊँचा
नीचे ऊपर
पतला मोटा
पास दूर
पीछे आगे
पुराना नया
बंद खुला
बड़ा छोटा
बायाँ दायाँ
बाहर अंदर
बुरा अच्छा
बेचना खरीदना
भारी हल्का
मजबूत कमजोर
मोटा पतला
लंबा नाटा
सच झूठ
सही गलत
हल्का भारी
हाँ नहीं
हार जीत
है नहीं
