bharat भारत
अँग्रेज़ी अंग्रेज़ी
अंतीम अंतिम
अग़र अगर
अतिश्योक्ति अतिशयोक्ति
अत्याधिक अत्यधिक
अधारित आधारित
अध्यन अध्ययन
अध्यात्मिक आध्यात्मिक
अनुग्रहित अनुगृहीत
अमुल्य अमूल्य
अशार अशआर
असान आसान
अहिल्या अहल्या
आंख आँख
आद्र आर्द्र
आधीन अधीन
आर्दश आदर्श
आर्शीवाद आशीर्वाद
आशीर्वाद आर्शीवाद
इजजत इज़्ज़त
इज़ज़त इज़्ज़त
इतफ़ाक इत्तिफ़ाक़
उज्ज्वल उज्जवल
उदहारण उदाहरण
उदाहरन उदाहरण
कवयित्री कवियत्री
कवियित्री कवयित्री
कश्ट कष्ट
कहां कहाँ
कार्यकर्म कार्यक्रम
काश्मीर कश्मीर
क्यूं क्यूँ
क्योकि क्योंकि
गुप्ता गुप्त
गुर्बा ग़ुरबा
गृहिणी गृहणी
घनिष्ट घनिष्ठ
चिन्ह चिह्न
छमा क्षमा
ज़नाब जनाब
जाएं जाएँ
जिसमे जिसमें
ज्येष्ठ जेष्ठ
तत्त्व तत्व
तल्वार तलवार
तल्वारी तलवारी
ताकी ताकि
ताना तानना
दुर्दशा दुर्दषा
द्वारिका द्वारका
निरीक्षण निरिक्षण
परीक्षा परिक्षा
पुन्य पुण्य
पूज्यनीय पूजनीय
प्रदर्शनी प्रदर्शिनी
प्रमाणिक प्रामाणिक
प्रसंशा प्रशंसा
फ़िर फिर
फ़ीर फिर
बँगला बांग्ला
बिमारी बीमारी
बुद्धिमान बुद्धीमान
भगवन भगवान
भाषा भाशा
भुगोल भूगोल
मखानी मखनी
मरयादा मर्यादा
महत्त्व महत्व
माना मानना
मैथली मैथिली
यहां यहाँ
यादाश्त याददाश्त
रविंद्र रवींद्र
राजनैतिक राजनीतिक
रामायन रामायण
रितु ऋतु
रोहन रोहण
लकडी लकड़ी
वकत वक़्त
वक़त वक़्त
वजाय बजाय
वरिष्ठ वरिष्ट
वर्षो वर्षों
वहां वहाँ
वा वाँ
वाल्मीकी वाल्मीकि
विज्ञानिक वैज्ञानिक
विषेला विषैला
व्यवसायिक व्यावसायिक
शताब्दी शताब्दि
शुरु शुरू
श्रीमति श्रीमती
श्रृंखला शृंखला
श्रृंगार शृंगार
संसारिक सांसारिक
सन्यासी संन्यासी
सफ़ल सफल
सशक्तिकरण सशक्तीकरण
सांप साँप
साधारन साधारण
सामग्री सामाग्री
सुस्वागत स्वागत
स्वरगीय स्वर्गीय
स्वास श्वास
हं हाँ
हथ्यार हथियार
हिन्दु हिन्दू
हिरन हिरण
