# A word and its opposite, one pair per line.
# Script: LATIN (Croatian Gaj alphabet).
da ne
ne da
blizu daleko
daleko blizu
bogat siromašan
siromašan bogat
rano kasno
kasno rano
dan noć
noć dan
dobar loš
loš dobar
dolje gore
gore dolje
dati uzeti
uzeti dati
vruć hladan
hladan vruć
kraj početak
početak kraj
kupiti prodati
prodati kupiti
laž istina
istina laž
mali velik
velik mali
voljeti mrziti
mrziti voljeti
nov star
star nov
nizak visok
visok nizak
otvoren zatvoren
zatvoren otvoren
pun prazan
prazan pun
poslije prije
prije poslije
spor brz
brz spor
izgubiti pobijediti
pobijediti izgubiti
jak slab
slab jak
lagan težak
težak lagan
svijetao taman
taman svijetao
unutra vani
vani unutra
mokar suh
suh mokar
sve ništa
ništa sve
uvijek nikad
nikad uvijek
ulaz izlaz
izlaz ulaz
prvi zadnji
zadnji prvi
mnogo malo
malo mnogo
čist prljav
prljav čist
lijep ružan
ružan lijep
sretan tužan
tužan sretan
glasan tih
tih glasan
javni privatni
privatni javni
