# Words habitually confused for each other, one group per line.
# Croatian: ASCII-folded forms, the c/c and dz/d confusions,
# ije/je and ekavian slips, plus kbdcr keyboard-adjacency slips.
abiotićki abiotički
abulićar abuličar
aciklićki aciklički
adeesa adresa
adjutant ađutant
adreaa adresa
adress adresa
adrwsa adresa
afatićar afatičar
afilićni afilični
afonićni afonični
afrićki afrički
aigurnost sigurnost
akustićki akustički
akustićni akustični
alatnićar alatničar
alergićni alergični
alika slika
alkalićni alkalični
alkemićar alkemičar
alćica alčica
amerićki američki
amuzićki amuzički
amuzićni amuzični
anarhićni anarhični
andel anđel
andeo anđeo
andjel anđel
andjelak anđelak
andjelić anđelić
andjelčić anđelčić
andjeo anđeo
anemićar anemičar
anemićni anemični
antićki antički
anđelič anđelić
anđelčič anđelčić
aparatič aparatić
aparatćik aparatčik
apatićni apatični
aplit split
arhaićni arhaični
arhandjel arhanđel
arhandjeo arhanđeo
arhidjakon arhiđakon
aris ariš
aritmićki aritmički
aritmićni aritmični
arkandjel arkanđel
arktićki arktički
armirać armirač
arsenićni arsenični
artićoka artičoka
aseptićni aseptični
asresa adresa
astatićki astatički
astatićni astatični
astenićar asteničar
astenićni astenični
astećki astečki
atase ataše
atipićni atipični
atićki atički
atletićar atletičar
atoksićni atoksični
atonićni atonični
atranica stranica
atrofićni atrofični
autic autić
autič autić
aviončič aviončić
azbućni azbučni
azoićni azoični
aztećki aztečki
babka banka
bacac bacač
bacać bacač
bacen bačen
bacic bačić
backi bački
bacva bačva
bagos bagoš
bagus baguš
bakrać bakrač
balkončič balkončić
balončič balončić
baltićki baltički
balćak balčak
banja banka
banks banka
banćenje bančenje
banćin bančin
banćiti bančiti
baraz baraž
baraćica baračica
barjačič barjačić
barkaća barkača
barudžba narudžba
barćica barčica
bas baš
basca bašča
batic batić
batič batić
bazenčič bazenčić
bazićni bazični
baćen bačen
baćija bačija
baćijar bačijar
baćijati bačijati
baćki bački
baćva bačva
baćvar bačvar
baćvast bačvast
baćvica bačvica
bačič bačić
bašća bašča
baščanski bašćanski
beaplatno besplatno
becar bećar
becki bečki
bedastoča bedastoća
