# Words of like meaning, one group per line.
# Phishing/brand lure words, ASCII-folded as the other Latin-script languages are.
pocetak start pokreni zapocni
trgovina shop ducan kupnja
prijava login prijavi pristup
racun profil clan mojracun
korisnik korisnicko ime identitet
siguran zasticen pouzdan provjeren
sigurnost zastita obrana stit
provjeri potvrdi validacija kontrola
lozinka zaporka pin kod
autorizacija autentifikacija token sesija
obnovi resetiraj vrati otkljucaj
podrska pomoc servis asistencija
kontakt povezi javise upit
placanje plati blagajna naplata
faktura racun potvrda uplatnica
banka financije novac novcanik
kartica kredit debit prepaid
prijenos transakcija uplata isplata
kripto novcic blockchain rudarenje
posta email poruka pristiglo
oblak cloud posluzitelj hosting
web stranica online mreza portal
domena poveznica adresa url
vijesti blog tisak mediji
besplatno poklon bonus akcija
popust ponuda rasprodaja kupon
nagrada dobitak premija lutrija
najbolji top premium pro
sluzbeni autentican pravi original
novi najnoviji svjez moderan
brzi hitan ekspres zurni
aplikacija program softver alat
preuzmi skini instaliraj postavi
azuriraj nadogradi produlji zakrpa
trazi nadi pretraga upit
dostava isporuka paket pracenje
narudzba kosarica kupovina zavrsi
kupac klijent pretplatnik naruc
admin uprava konzola ploca
centar cvoriste glavni opci
grupa tim tvrtka korporacija
podaci backup arhiva pohrana
foto slika galerija snimka
video stream gledaj reproduciraj
glazba audio zvuk radio
igra igre igrac arkada
chat razgovor messenger uzivo
drustveni zajednica prijatelji pratitelji
posao zaposlenje karijera zaposljavanje
zdravlje lijecnik klinika ljekarna
putovanje let hotel rezervacija
hrana restoran jelovnik kuhinja
skola ucenje tecaj studij
zakon pravni sud prava
vlada drzava ministarstvo javni
porez porezna carina pristojba
osiguranje polica steta pokrice
nekretnina najam kuca vlasnistvo
auto vozilo motor prijevoz
energija snaga struja plin
mobitel telefon sms poziv
upozorenje alarm obavijest hitno
pretplata clanstvo tarifa produljenje
bodovi vjernost cashback milje
recenzija ocjena misljenje komentar
