# Words habitually confused for each other, one group per line.
abbol abból
abogy ahogy
adot adott
adra arra
agtán aztán
agért azért
ahejett ahelyett
ahigy ahogy
ahikor amikor
ahoby ahogy
aiar akar
aikor akkor
ajto ajtó
akadáj akadály
akar akár
akior akkor
akkir akkor
akqr akar
akármijen akármilyen
ala alá
alapvetö alapvető
alat alatt
aldozat áldozat
all áll
altal által
altalaban általában
alytó ajtó
alyándék ajándék
am ám
amatör amatőr
amej amely
amejek amelyek
amejet amelyet
amejik amelyik
amiert amiért
amig amíg
amiior amikor
amijen amilyen
amijet amilyet
amikir amikor
amojan amolyan
amugy amúgy
ana anna
anak annak
anelkul anélkül
annal annál
anyi annyi
anál annál
ara arra
arda arra
arrol arról
artatlan ártatlan
aról arról
aszony asszony
at át
atkozott átkozott
attol attól
atól attól
autópája autópálya
azal azzal
azelott azelőtt
azelött azelőtt
azelőt azelőtt
azert azért
azfán aztán
azonal azonnal
azota azóta
aztan aztán
azutan azután
azédt azért
bagoj bagoly
baly baj
balya baja
bar bár
barcsak bárcsak
barki bárki
barmi bármi
barmikor bármikor
barmilyen bármilyen
barátnö barátnő
baszus basszus
bdnne benne
bebi bébi
bebne benne
befojásos befolyásos
belole belőle
belsö belső
belul belül
belöle belőle
belöled belőled
belölem belőlem
belölük belőlük
belülröl belülről
benbe benne
bene benne
bened benned
benem bennem
beszel beszél
beszelt beszélt
betü betű
bil bill
biro bíró
bizfos biztos
bizonyitek bizonyíték
biztis biztos
biztonsagos biztonságos
bjztos biztos
bocsanat bocsánat
bocsass bocsáss
bocsás bocsáss
bocsáson bocsásson
bojgó bolygó
brookjn brooklyn
buszke büszke
bármej bármely
bármejik bármelyik
bármijen bármilyen
bírónö bírónő
bör bőr
böven bőven
bübáj bűbáj
bübájos bűbájos
bün bűn
büncselekmény bűncselekmény
bünrészes bűnrészes
büntett bűntett
büntudat bűntudat
bünös bűnös
bünöző bűnöző
bünügyi bűnügyi
büvész bűvész
büvös bűvös
büz bűz
büzlik bűzlik
büzös bűzös
bűnözö bűnöző
caak csak
cipö cipő
csalad család
csaladi családi
csaly csaj
csekéj csekély
csinal csinál
csodalatos csodálatos
csodas csodás
csomo csomó
csqk csak
csupan csupán
csö cső
delutan délután
dicsöség dicsőség
doktornö doktornő
dolj dolly
dollar dollár
dolár dollár
draga drága
duhos dühös
délelött délelőtt
döntö döntő
döntöt döntött
eate este
ebbol ebből
ebböl ebből
ebyütt együtt
ebész egész
edes édes
edre erre
edzö edző
eg ég
egek ezek
egesz egész
egeszen egészen
egyaltalan egyáltalán
egyböl egyből
egyebkent egyébként
egyedul egyedül
egyelöre egyelőre
egyenlö egyenlő
egyfalyta egyfajta
egyfojtában egyfolytában
egyikötök egyikőtök
egyszere egyszerre
egyszeru egyszerű
egyszerü egyszerű
egyutt együtt
egyértelmü egyértelmű
együft együtt
együt együtt
együttmüködik együttműködik
együttmüködés együttműködés
egéaz egész
egért ezért
ehber ember
ehejett ehelyett
ehes éhes
eiső első
eiég elég
ejjel éjjel
ejszaka éjszaka
el él
elaő első
ele elé
eleg elég
elegendö elegendő
elegge eléggé
elen ellen
elene ellene
elenére ellenére
elet élet
ellenere ellenére
ellenkezöleg ellenkezőleg
ellenörzés ellenőrzés
elmult elmúlt
elnok elnök
elo elő
elobb előbb
elol elől
elore előre
eloszor először
elott előtt
elotte előtte
elozo előző
elso első
elsö első
elsödleges elsődleges
eltunt eltűnt
eltünt eltűnt
elégé eléggé
elérhetö elérhető
elö elő
elöadás előadás
elöbb előbb
elöl elől
elölem előlem
elölröl elölről
elöre előre
elöször először
elött előtt
elötte előtte
elötted előtted
elöttem előttem
elötti előtti
elöttünk előttünk
elözetes előzetes
elözö előző
előt előtt
előte előtte
embdr ember
emfer ember
emiat emiatt
emlekszel emlékszel
emlekszem emlékszem
emlekszik emlékszik
en én
enek ennek
engedéj engedély
eni enni
ennel ennél
enyem enyém
enyi ennyi
enél ennél
epp épp
eppen éppen
er ér
erde erre
erdekel érdekel
erdekes érdekes
erdö erdő
ere erre
eros erős
errol erről
erröl erről
ert ért
erzes érzés
erö erő
eröd erőd
erös erős
eröszak erőszak
eröszakos erőszakos
eről erről
erőmü erőmű
es és
esfe este
eskuszom esküszöm
esküvö esküvő
eséj esély
eséjtelen esélytelen
esö eső
ettol ettől
ettöl ettől
etől ettől
ev év
eve éve
eves éves
ezdk ezek
ezel ezzel
ezelott ezelőtt
ezelött ezelőtt
ezelőt ezelőtt
ezert ezért
ezédt ezért
ezútal ezúttal
faj fáj
falyta fajta
feher fehér
fehérnemü fehérnemű
fel fél
fele felé
felelös felelős
felelösség felelősség
felet felett
felnött felnőtt
felnőt felnőtt
felre félre
felseg felség
felsö felső
feltünő feltűnő
fely fej
felöl felől
felöle felőle
felölem felőlem
felügyelö felügyelő
ferfi férfi
ferfiak férfiak
fertözött fertőzött
ficko fickó
fiu fiú
fogjok foglyok
fogoj fogoly
fojadék folyadék
fojamat folyamat
fojamatos folyamatos
fojamán folyamán
fojik folyik
fojosó folyosó
fojt folyt
fojtatódik folytatódik
fojton folyton
fojékony folyékony
fojó folyó
fold föld
foleg főleg
fonok főnök
foró forró
fris friss
fály fáj
fálydalom fájdalom
fö fő
föfelügyelö főfelügyelő
föleg főleg
fönök főnök
fü fű
füg függ
füszeres fűszeres
gaere gyere
gaerünk gyerünk
gojó golyó
gojóálló golyóálló
gydre gyere
gyede gyere
gyedünk gyerünk
gyerunk gyerünk
gyerübk gyerünk
gyonyoru gyönyörű
gyönyörü gyönyörű
gyözelem győzelem
gyöztes győztes
gyüjt gyűjt
gyüjtemény gyűjtemény
gyüjtött gyűjtött
gyüjtő gyűjtő
gyülik gyűlik
gyülöl gyűlöl
gyülölet gyűlölet
gyürü gyűrű
haboru háború
hadmüvelet hadművelet
hagyot hagyott
hajo hajó
hajtómü hajtómű
hal hall
hala hála
halal halál
halani hallani
halasz hallasz
hallo halló
halod hallod
halom hallom
halot hallott
halot halott
halota hallotta
halotad hallottad
halotam hallottam
halotál hallottál
halylandó hajlandó
halyrá hajrá
halyó hajó
haló halló
hany hány
harom három
hary harry
hasonlo hasonló
hat hát
hatha hátha
hatra hátra
haz ház
he hé
hej hely
hejes helyes
hejett helyett
hejette helyette
hejetted helyetted
hejettem helyettem
hejettes helyettes
heji helyi
hejre helyre
hejszín helyszín
hejt helyt
hejtelen helytelen
hejzet helyzet
hejénvaló helyénvaló
hello helló
helyet helyett
heló helló
hercegnö hercegnő
het hét
hianyzik hiányzik
hidegvérü hidegvérű
higy hogy
hini hinni
hinnem hinném
hiném hinném
hir hír
hisgem hiszem
hiszdm hiszem
hite hitte
hitem hittem
hivott hívott
hjszem hiszem
hoby hogy
holgy hölgy
holjwood hollywood
homájos homályos
honan honnan
honap hónap
hosszu hosszú
hoszú hosszú
hova hová
hozza hozzá
hozzad hozzád
hozzam hozzám
hozzank hozzánk
hozá hozzá
hozád hozzád
hozám hozzám
hozánk hozzánk
hu hű
hulye hülye
hétfö hétfő
hívot hívott
hízelgö hízelgő
hógy hogy
hös hős
hü hű
hüha hűha
hüje hülye
hüséges hűséges
hütlen hűtlen
hütő hűtő
hüvös hűvös
ibaz igaz
iben igen
idegesítö idegesítő
idiota idióta
ido idő
idö idő
idöjárás időjárás
idönként időnként
idöpont időpont
idös idős
idöszak időszak
idövel idővel
iflyú ifjú
igazan igazán
igazsag igazság
igdn igen
igqz igaz
igy így
iiyen ilyen
ij ily
ijen ilyen
ijenek ilyenek
ijenkor ilyenkor
ijesmi ilyesmi
ijesmik ilyesmik
ijesztö ijesztő
ijet ilyet
ilaen ilyen
illetö illető
ilydn ilyen
ilyesztő ijesztő
inen innen
ini inni
inkabb inkább
innentöl innentől
iránytü iránytű
ismerös ismerős
ismet ismét
it itt
ithon itthon
jar jár
jart járt
jartam jártam
jatek játék
jatszani játszani
jelentös jelentős
jellegü jellegű
jellemzö jellemző
jezus jézus
jibb jobb
jo jó
jofb jobb
jojjon jöjjön
jol jól
jon jön
jonnek jönnek
jonni jönni
jossz jössz
jott jött
jottek jöttek
jottel jöttél
jottem jöttem
jottunk jöttünk
jovo jövő
jovok jövök
juk lyuk
jukas lyukas
jutot jutott
jármü jármű
járör járőr
jóképü jóképű
jószívü jószívű
jö jő
jönek jönnek
jöni jönni
jösz jössz
jöt jött
jötek jöttek
jötem jöttem
jöttel jöttél
jötél jöttél
jötünk jöttünk
jövö jövő
jövöre jövőre
kalya kaja
kapitany kapitány
kar kár
kastéj kastély
kdll kell
kdllett kellett
keil kell
kek kék
kel kell
kelemes kellemes
kelene kellene
kelet kellett
keliett kellett
kelleft kellett
kellös kellős
kemeny kemény
kene kéne
kepes képes
ker kér
kerdes kérdés
keresztul keresztül
kerul kerül
keselyü keselyű
keserü keserű
keso késő
kesobb később
kesz kész
kesztyü kesztyű
kesö késő
kesöbb később
ket két
keten ketten
ketto kettő
kettö kettő
kettös kettős
kető kettő
keves kevés
kezdodik kezdődik
kezdö kezdő
kezdödik kezdődik
kezüleg kezűleg
kifele kifelé
kiraly király
kiráj király
kiráji királyi
kirájnő királynő
kirájság királyság
királynö királynő
kisaszony kisasszony
kislany kislány
kisse kissé
kisé kissé
kitünő kitűnő
kitűnö kitűnő
kivancsi kíváncsi
kiveve kivéve
kivul kívül
kivül kívül
klasz klassz
kolyok kölyök
komoj komoly
konnyen könnyen
konnyu könnyű
korabban korábban
koran korán
korul körül
kosz kösz
koszi köszi
kovetkezo következő
kozben közben
kozel közel
kozelebb közelebb
kozos közös
kozott között
kozt közt
kozul közül
kristáj kristály
kuldott küldött
kulonben különben
kulonleges különleges
kulonos különös
kébe kéne
képviselö képviselő
késö késő
késöbb később
