# Words of like meaning, one group per line.
start indit kezd indulas
bolt uzlet piac shop
belepes bejelentkezes login hozzaferes
fiok profil tag sajatfiok
felhasznalo nev azonosito identitas
biztonsagos vedett megbizhato biztos
biztonsag vedelem orzes pajzs
ellenoriz megerosit validal jovahagy
jelszo kod pin belepokod
auth engedelyezes token munkamenet
helyreallitas visszaallitas alaphelyzet feloldas
tamogatas segitseg szolgaltatas asszisztencia
kapcsolat kapcsolatfelvetel elerhetoseg megkereses
fizetes fizet penztar checkout
szamlazas szamla nyugta bizonylat
bank penzugy penz penztarca
kartya hitel betet feltoltokartya
atutalas tranzakcio befizetes kifizetes
kripto erme blockchain banyaszat
posta email uzenet beerkezo
felho szerver host tarhely
web oldal online halozat portal
domain link cim url
hirek blog sajto media
ingyenes ajandek bonusz akcio
kedvezmeny ajanlat kiarusitas kupon
nyeremeny nyeres jutalom lotto
legjobb top premium pro
hivatalos hiteles valodi eredeti
uj legujabb friss modern
gyors sebes expressz azonnali
alkalmazas program szoftver eszkoz
letoltes megszerzes telepites beallitas
frissites upgrade megujitas javitas
kereses megtalal keres lekerdezes
szallitas kiszallitas csomag kovetes
megrendeles kosar bevasarlas vasarlas
ugyfel vasarlo elofizeto vevo
admin kezeles konzol vezerlopult
kozpont hub fo globalis
csoport csapat ceg vallalat
adat mentes archivum tarolo
foto kep galeria felvetel
video stream nezes lejatszas
zene audio hang radio
jatek jatekok jatekos arcade
chat beszelgetes messenger elo
kozossegi kozosseg baratok kovetok
munka allas karrier toborzas
egeszseg orvos klinika gyogyszertar
utazas repules hotel foglalas
etel etterem menu konyha
iskola tanulas tanfolyam kepzes
torveny jogi birosag jogok
kormany allam miniszterium kozszolgalat
ado bevetel vam illetek
biztositas kotveny kar fedezet
ingatlan berlet haz tulajdon
auto kocsi motor jarmu
energia aram elektromos gaz
mobil telefon sms hivas
riasztas figyelmeztetes ertesites surgos
elofizetes tagsag csomag tarifa
pontok huseg cashback merfold
velemeny ertekeles visszajelzes hozzaszolas
