alto basso
amare odiare
aperto chiuso
basso alto
buono cattivo
caldo freddo
cattivo buono
chiaro scuro
chiuso aperto
comprare vendere
dare prendere
debole forte
dentro fuori
difficile facile
dopo prima
facile difficile
falso vero
finire iniziare
forte debole
freddo caldo
fuori dentro
giorno notte
grande piccolo
iniziare finire
lento veloce
lontano vicino
no si
notte giorno
nuovo vecchio
odiare amare
perdere vincere
piccolo grande
pieno vuoto
povero ricco
prendere dare
presto tardi
prima dopo
ricco povero
scuro chiaro
si no
sopra sotto
sotto sopra
tardi presto
vecchio nuovo
veloce lento
vendere comprare
vero falso
vicino lontano
vincere perdere
vuoto pieno
