いただいる いただいている
きおつけて きをつけて
こんにちわ こんにちは
こんばんわ こんばんは
ちやん ちゃん
ふいんき ふんいき
ものかわ ものかは
アタッシュケース アタッシェケース
アボガド アボカド
ウィクショナリ ウィクショナリー
エンターテイメント エンターテインメント
キャスティングボード キャスティングボート
コミニュケーション コミュニケーション
シュチエーション シチュエーション
シュミレーション シミュレーション
ジャクジー ジャグジー
デイーゼル ディーゼル
バック バッグ
バトミントン バドミントン
ベット ベッド
一同に会する 一堂に会する
一生県命 一生懸命
五里夢中 五里霧中
仙頭 汕頭
伯刺西爾 伯剌西爾
危機一発 危機一髪
名実共 名実ともに
喪陽 襄陽
完壁 完璧
専問 専門
役不足 役者不足
心気一転 心機一転
抒軸 杼軸
来々週 再来週
来来週 再来週
欵乃 欸乃
款乃 欸乃
汚名挽回 汚名返上
無我無中 無我夢中
独擅場 独壇場
異和感 違和感
的を得る 的を射る
稗益 裨益
絶体 絶対
絶対絶命 絶体絶命
羅患 罹患
羅漢 罹患
自我自賛 自画自賛
言語同断 言語道断
論戦 論陣
過半数以上 過半数
