ადვილი ძნელი
არა კი
არასწორი სწორი
ახალი ძველი
ახლოს შორს
ბევრი ცოტა
ბნელი ნათელი
გამარჯვება დამარცხება
გამოსვლა შესვლა
გაყიდვა ყიდვა
გრძელი მოკლე
დაბალი მაღალი
დამარცხება გამარჯვება
დახურული ღია
დიდი პატარა
ზემოთ ქვემოთ
თხელი სქელი
კარგი ცუდი
კი არა
მარცხენა მარჯვენა
მარჯვენა მარცხენა
მაღალი დაბალი
მოკლე გრძელი
მოსვლა წასვლა
მსუბუქი მძიმე
მძიმე მსუბუქი
ნათელი ბნელი
ნელი სწრაფი
პატარა დიდი
სუსტი ძლიერი
სქელი თხელი
სწორი არასწორი
სწრაფი ნელი
უკან წინ
ქვემოთ ზემოთ
ღია დახურული
ყიდვა გაყიდვა
შესვლა გამოსვლა
შორს ახლოს
ცივი ცხელი
ცოტა ბევრი
ცრუ ჭეშმარიტი
ცუდი კარგი
ცხელი ცივი
ძველი ახალი
ძლიერი სუსტი
ძნელი ადვილი
წასვლა მოსვლა
წინ უკან
ჭეშმარიტი ცრუ
