ალბად ალბათ
ანგარიში ანგარიშ
ანეგდოტი ანეკდოტი
ეროტიულად ეროტიკულად
ეროტიული ეროტიკული
ვსვავ ვსვამ
თეორიტიკოსი თეორეტიკოსი
თორე თორემ
კიდე კიდევ
კომპიუტერი კომპუტერი
მაგრა მაგრად
მადლობთ გმადლობთ
მეამიტი მიამიტი
მისამართი მისამარტი
მხოლობითი მხოლოობითი
ნერვოზი ნევროზი
ნოლი ნული
პაროლი პაროლ
რათ რად
რეგისტრაცია რეგისტრცია
რომანტიულად რომანტიკულად
რომანტიული რომანტიკული
რუქა რუკა
სადღეღამისეო სადღეღამისო
საქართველო საქარტველო
სუ სულ
ტევანი მტევანი
ტრამვა ტრავმა
უგულვებელყოფა უგულებელყოფა
უნებლიედ უნებლიეთ
წინგი წიგნი
ხავა ჰავა
ჰეტერორომანტიული ჰეტერორომანტიკული
ჰომოეროტიული ჰომოეროტიკული
ჰომორომანტიული ჰომორომანტიკული
