# A word and its opposite, one pair per line.
# Kazakh in Cyrillic script (42 letters). The Latin alphabet Kazakhstan is transitioning to is deliberately not used here; pkg/kb ships kbdkaz (Cyrillic) and CLDR kk is Cyrillic.
аз көп
алға артқа
артқа алға
ауыр жеңіл
ашу жабу
ақ қара
бай кедей
басы соңы
баяу жылдам
бос толы
ерте кеш
ескі жаңа
жабу ашу
жаман жақсы
жарық қараңғы
жақсы жаман
жаңа ескі
жеккөру сүю
жеңіл ауыр
жеңіліс жеңіс
жеңіс жеңіліс
жоғары төмен
жоқ иә
жылдам баяу
иә жоқ
кедей бай
кеш ерте
кіру шығу
кіші үлкен
күндіз түн
күшті әлсіз
көп аз
минус плюс
оң сол
плюс минус
сату сатыпалу
сатыпалу сату
сол оң
соңы басы
суық ыстық
сыртында ішінде
сүю жеккөру
толы бос
түн күндіз
төмен жоғары
шындық өтірік
шығу кіру
ыстық суық
ішінде сыртында
қара ақ
қараңғы жарық
қысқа ұзын
үлкен кіші
ұзын қысқа
әлсіз күшті
өлім өмір
өмір өлім
өтірік шындық
