# Words habitually confused for each other, one group per line.
# Kazakh in Cyrillic script (42 letters). The Latin alphabet Kazakhstan is transitioning to is deliberately not used here; pkg/kb ships kbdkaz (Cyrillic) and CLDR kk is Cyrillic.
аайнинг майнинг
аайыз пайыз
аалым салым
аалқын салқын
аанель панель
аароль пароль
аатч патч
аатыпалу сатыпалу
ааяхат саяхат
аақсат мақсат
авоо авто
автоеөлік автокөлік
автоколик автокөлік
автоколік автокөлік
автокөлик автокөлік
автокөліа автокөлік
авторизациф авторизация
авторрзация авторизация
авть авто
ага аға
агаш ағаш
адаа адам
адресс адрес
адсм адам
аебеп себеп
аегізінші сегізінші
аезім сезім
аексен сексен
аемлекет мемлекет
аенімді сенімді
аиллиард миллиард
айел әйел
айкулак айқұлақ
айкұлақ айқұлақ
айқулақ айқұлақ
айқүлақ айқұлақ
айқұлак айқұлақ
айқұлаө айқұлақ
акау ақау
акаунт аккаунт
акаунтым аккаунтым
аке әке
акикат ақиқат
акимши әкімші
акиқат ақиқат
аккауни аккаунт
акксунт аккаунт
акша ақша
акімші әкімші
алаяктык алаяқтық
алаяктық алаяқтық
алаящтық алаяқтық
алаяқтыз алаяқтық
алаяқтык алаяқтық
алга алға
алеуметтик әлеуметтік
алеуметтік әлеуметтік
алея аллея
алка алға
алмати алматы
алматч алматы
алмсты алматы
алпывыншы алпысыншы
алпысыншв алпысыншы
алпыч алпыс
алрыс алпыс
алсиз әлсіз
алсіз әлсіз
алтуншы алтыншы
алтц алты
алтыжуз алтыжүз
алтыжүө алтыжүз
алтыншф алтыншы
алтяжүз алтыжүз
альы алты
алғк алға
амиян әмиян
аонета монета
аотор мотор
апарат аппарат
апра апта
аптобус автобус
аптс апта
араан арман
арип әріп
аркадк аркада
аркпда аркада
аркылы арқылы
армап арман
аррқа артқа
артең ертең
артка артқа
артқп артқа
аріп әріп
арқылч арқылы
арқялы арқылы
асаан аспан
аскерту ескерту
аспап аспан
астанк астана
астанна астана
астпна астана
астынгысызык астыңғысызық
астынғысызық астыңғысызық
астысызык астысызық
астысызыө астысызық
астычызық астысызық
астыңгысызық астыңғысызық
астыңғысызык астыңғысызық
астыңғысызыщ астыңғысызық
астыңғясызық астыңғысызық
асхане асхана
асхмна асхана
атак атау
атву атау
атрим стрим
аувр ауыр
аударыс аударым
аудерым аударым
аудил аудио
аулио аудио
аурет сурет
ауруханк аурухана
ауруъана аурухана
аутентийикация аутентификация
аутентификациф аутентификация
ауцл ауыл
аучз ауыз
ауыд ауыз
ауын ауыр
ауыь ауыл
аыйақы сыйақы
аысық мысық
аяк аяқ
аіздің сіздің
ағаү ағаш
ағкш ағаш
ақац ақау
ақеу ақау
ақикат ақиқат
ақиқар ақиқат
ақиөат ақиқат
ақше ақша
ақұа ақша
аүлік мүлік
аұраныс сұраныс
аұрағат мұрағат
аәдениет мәдениет
аәзір мәзір
аөзқарас көзқарас
аөйлесу сөйлесу
аөмек көмек
бабыл дабыл
бавы басы
бага баға
багдарлама бағдарлама
багк банк
базат базар
байланыч байланыс
байлсныс байланыс
бакылау бақылау
бакытты бақытты
балв бала
балык балық
балыұ балық
бану банк
бапрау баптау
баптак баптау
бардық барлық
барлык барлық
барлыұ барлық
басиау бастау
баскару басқару
басоалу басталу
баспасоз баспасөз
баспасөщ баспасөз
баспесөз баспасөз
басталц басталу
бастаі бастау
бася басы
басқарң басқару
басөару басқару
бауыс дауыс
баща бала
бащық балық
баыу баяу
баяі баяу
бағдарламе бағдарлама
бағдатлама бағдарлама
бағм баға
бақар базар
бақутты бақытты
бақцлау бақылау
бақылаі бақылау
бақыттф бақытты
баңа баға
бейбитшилик бейбітшілік
бейбитшілік бейбітшілік
бейбіршілік бейбітшілік
бейбітшилік бейбітшілік
бейбітшілик бейбітшілік
бейбітшілів бейбітшілік
беректер деректер
бесжуз бесжүз
бесжүқ бесжүз
бесинши бесінші
бесинші бесінші
бесэүз бесжүз
бесінши бесінші
бесіншц бесінші
бесңнші бесінші
биз біз
биздин біздің
биздің біздің
билик билік
билим білім
билім білім
биліу билік
бир бір
бирак бірақ
бирақ бірақ
биринши бірінші
бирінші бірінші
бищік билік
блоквейн блокчейн
блокчейе блокчейн
блор блог
бльг блог
богус бонус
болим бөлім
болме бөлме
болім бөлім
бонуатар бонустар
бонув бонус
бонустап бонустар
