갈께요 갈게요
계시판 게시판
금새 금세
김치찌게 김치찌개
깨끗히 깨끗이
깽깽 깨깨
나뭇꾼 나무꾼
낳았다 나았다
닭계장 닭개장
되요 돼요
된장찌게 된장찌개
뒷통수 뒤통수
레몬에이드 레모네이드
메세지 메시지
몇일 며칠
무릎쓰다 무릅쓰다
문안하다 무난하다
미얀마재비 버마재비
바램 바람
발란 반란
븅신 병신
비게 비계
사겨 사귀어
삼가하다 삼가다
설겆이 설거지
설레임 설렘
수강아지 수캉아지
수개 수캐
수당나귀 수탕나귀
수돼지 수퇘지
수병아리 수평아리
수코양이 수고양이
아니오 아니요
않되 안돼
않되요 안돼요
않하다 안하다
암개 암캐
암당나귀 암탕나귀
암돼지 암퇘지
암코양이 암고양이
앙금 앙꼬
애미 에미
어떻해 어떡해
어의없다 어이없다
얼만큼 얼마큼
엘레베이터 엘리베이터
역활 역할
옛부터 예부터
오랫만 오랜만
와우 우어
육계장 육개장
일부로 일부러
지피다 짚이다
진니기다 짓이기다
찌개 찌게
통채로 통째로
할께요 할게요
행님 헹님
헤지다 해지다
호스테스 호스티스
혼쾌히 흔쾌히
회손 훼손
희안하다 희한하다
