# A word and its opposite, one pair per line.
# Kyrgyz in Cyrillic script (36 letters). pkg/kb ships kbdkyr (Kyrgyz Cyrillic); CLDR ky is Cyrillic. Letters CLDR keeps in auxiliary (в ф ц щ ь) are included because they belong to the standard alphabet and occur in Russian loans.
аз көп
ак кара
алга артка
алсыз күчтүү
артка алга
ачуу жабуу
аягы башы
бай жарды
башы аягы
бош толук
жабуу ачуу
жай тез
жакшы жаман
жалган чындык
жаман жакшы
жарды бай
жарык караңгы
жашоо өлүм
жаңы эски
жеккөрүү сүйүү
жеңил оор
жеңилүү жеңиш
жеңиш жеңилүү
жогору төмөн
жок ооба
ичинде сыртында
кара ак
караңгы жарык
кеч эрте
кирүү чыгуу
кичине чоң
кыска узун
күн түн
күчтүү алсыз
көп аз
минус плюс
ооба жок
оор жеңил
оң сол
плюс минус
сатуу сатыпалуу
сатыпалуу сатуу
сол оң
суук ысык
сыртында ичинде
сүйүү жеккөрүү
тез жай
толук бош
түн күн
төмөн жогору
узун кыска
чоң кичине
чыгуу кирүү
чындык жалган
ысык суук
эрте кеч
эски жаңы
өлүм жашоо
