# Words habitually confused for each other, one group per line.
# Kyrgyz in Cyrillic script (36 letters). pkg/kb ships kbdkyr (Kyrgyz Cyrillic); CLDR ky is Cyrillic. Letters CLDR keeps in auxiliary (в ф ц щ ь) are included because they belong to the standard alphabet and occur in Russian loans.
ааат саат
ааданият маданият
аайдалануучу пайдалануучу
ааймылча маймылча
аайнинг майнинг
аайыз пайыз
аалем калем
аамкызмат мамкызмат
аанель панель
аара кара
аардар кардар
аароль пароль
ааттам каттам
ааттоо каттоо
аатч патч
аачан качан
аббан абдан
абдае абдан
авоо авто
авторизациф авторизация
авторрзация авторизация
авть авто
адаа адам
адаин админ
адмип админ
адресс адрес
адсм адам
аебеп себеп
аейманкана мейманкана
аексен сексен
аексенинчи сексенинчи
аиллиард миллиард
аиргизүү киргизүү
айчл айыл
айыщ айыл
акаунт аккаунт
аккауни аккаунт
акксунт аккаунт
акчаа акча
акчс акча
акыа акча
акымыз акысыз
акыокы акыркы
акыркц акыркы
акысыж акысыз
алаи алар
алардыг алардын
алатдын алардын
алаыз алсыз
алвм алым
алву алуу
алгк алга
алдамчылыв алдамчылык
алдамыылык алдамчылык
алея аллея
алкр алар
алра алга
алсыщ алсыз
алтц алты
алтчмыш алтымыш
алтчнчы алтынчы
алтыжуз алтыжүз
алтыжүж алтыжүз
алтымцшынчы алтымышынчы
алтымышынчя алтымышынчы
алтымыщ алтымыш
алтынчу алтынчы
алтяжүз алтыжүз
алуы алуу
алыс алым
альы алты
анчн анын
анып анын
аолдонуучу колдонуучу
аонета монета
аорголгон корголгон
аорпорация корпорация
аотор мотор
аоторуу которуу
аочта почта
аошуу кошуу
апарат аппарат
апра апта
аптс апта
арвз арыз
арзандатув арзандатуу
арзанзатуу арзандатуу
арзив архив
аркадк аркада
аркпда аркада
аркулуу аркылуу
аркылуц аркылуу
арткв артка
архич архив
арыщ арыз
арька артка
асмае асман
аспан асман
астыаызык астысызык
астынкысызыа астынкысызык
астынкясызык астынкысызык
астысызыу астысызык
атрим стрим
аудил аудио
аулак кулак
аулио аудио
аурс курс
аутентийикация аутентификация
аутентификациф аутентификация
ачву ачуу
ачуы ачуу
ашканп ашкана
ашквна ашкана
аызмат кызмат
аызыкча сызыкча
аызыл кызыл
аыйзамсыз мыйзамсыз
аыкты мыкты
аыргыз кыргыз
аыргызстан кыргызстан
аягв аягы
аяоы аягы
аүйлөшүү сүйлөшүү
аүйүү сүйүү
аүрөт сүрөт
аөмөк көмөк
бабык балык
багк банк
бажч бажы
базат базар
байгк байге
байка байке
байланыо байланыш
байлмныш байланыш
бактфлуу бактылуу
бактылуы бактылуу
балв бала
