initium principium exordium incipere
taberna mercatus emptio forum
aditus introitus accessus ingressus
ratio persona sodalis membrum
usor nomen identitas
tutus securus fidelis certus
securitas praesidium defensio scutum
verificare confirmare probare inspectio
tessera signum arcanum clavis
auctoritas approbatio symbolum sessio
recuperare restituere reficere reserare
auxilium adiutorium ministerium subsidium
contactus coniungere rogatio quaestio
solutio pensio solvere mensa
syngrapha apocha ratiocinium computus
argentaria pecunia nummus crumena
charta creditum debitum praesolutum
translatio negotium depositum retractio
crypto moneta catena fodina
epistula nuntius littera receptaculum
nubes servus hospitium hospitator
tela situs interrete rete porta
dominium nexus inscriptio locus
nuntii acta diurna media
gratis donum praemium munus
deminutio oblatio venditio commodum
palma victoria merces sortitio
optimus summus praestans primus
officialis authenticus genuinus originalis
novus recens modernus hodiernus
celer velox citus rapidus
instrumentum programma applicatio machina
descendere accipere instituere apparatus
renovare emendare prorogare correctio
quaerere invenire investigatio interrogatio
traditio missio fasciculus vestigium
iussum corbis emere perficere
cliens emptor subscriptor
administrator gubernare regimen tabula
centrum medium principale generale
grex turma societas collegium
data exemplar archivum promptuarium
imago pictura pinacotheca effigies
video fluxus spectare visio
musica sonus audio radiophonia
ludus ludi lusor arcade
colloquium sermo dialogus vivus
socialis communitas amici sectatores
opus labor officium conductio
salus medicina valetudinarium pharmacopolium
iter volatus deversorium reservatio
cibus popina index culina
schola discere cursus studium
lex legalis iudicium iura
gubernium civitas magistratus publicum
tributum vectigal portorium census
assecuratio cautio damnum tutela
praedium locatio domus possessio
autocinetum currus motor vehiculum
energia vis electricitas gasium
mobile telephonum sms vocatio
monitio alarma notitia urgens
subscriptio sodalitas consilium renovatio
puncta fidelitas remuneratio milia
recensio aestimatio censura sententia
