# A word and its opposite, one pair per line.
# Marathi (Devanagari). Graphemes from CLDR exemplarCharacters for mr.
अंधार उजेड
आत बाहेर
चांगला वाईट
पुढे मागे
येणे जाणे
सोपे कठीण
उजेड अंधार
उंच सखल
वर खाली
कठीण सोपे
कमी जास्त
अशक्त सशक्त
घेणे देणे
उघडे बंद
गरम थंड
चूक बरोबर
लहान मोठा
जाणे येणे
जय पराजय
जास्त कमी
खोटे खरे
थंड गरम
जलद संथ
उजवा डावा
दूर जवळ
संथ जलद
नवीन जुने
नाही होय
ठेंगणा उंच
सखल उंच
खाली वर
बारीक जाड
जवळ दूर
मागे पुढे
जुने नवीन
बंद उघडे
मोठा लहान
डावा उजवा
बाहेर आत
वाईट चांगला
देणे घेणे
जड हलका
सशक्त अशक्त
जाड बारीक
खरे खोटे
बरोबर चूक
हलका जड
होय नाही
पराजय जय
सुरक्षित असुरक्षित
खरा खोटा
वैध अवैध
उघड गुप्त
सुरुवात शेवट
शेवट सुरुवात
श्रीमंत गरीब
गरीब श्रीमंत
