# A number, then the words denoting it: 1 one first
# Marathi (Devanagari). Graphemes from CLDR exemplarCharacters for mr.
0 शून्य
1 एक पहिला
2 दोन दुसरा
3 तीन तिसरा
4 चार चौथा
5 पाच पाचवा
6 सहा सहावा
7 सात सातवा
8 आठ आठवा
9 नऊ नववा
10 दहा दहावा
11 अकरा अकरावा
12 बारा बारावा
13 तेरा तेरावा
14 चौदा चौदावा
15 पंधरा पंधरावा
16 सोळा सोळावा
17 सतरा सतरावा
18 अठरा अठरावा
19 एकोणीस एकोणिसावा
20 वीस विसावा
21 एकवीस एकविसावा
22 बावीस बाविसावा
23 तेवीस तेविसावा
24 चोवीस चोविसावा
30 तीस तिसावा
40 चाळीस चाळिसावा
50 पन्नास पन्नासावा
60 साठ साठावा
70 सत्तर सत्तरावा
80 ऐंशी ऐंशीवा
90 नव्वद नव्वदावा
100 शंभर शंभरावा
1000 हजार हजारावा
100000 लाख लक्ष
1000000 दशलक्ष मिलियन
10000000 कोटी
1000000000 अब्ज बिलियन
