0 nul
1 een eerste
2 twee tweede
3 drie derde
4 vier vierde
5 vijf vijfde
6 zes zesde
7 zeven zevende
8 acht achtste
9 negen negende
10 tien tiende
11 elf elfde
12 twaalf twaalfde
13 dertien dertiende
14 veertien veertiende
15 vijftien vijftiende
16 zestien zestiende
17 zeventien zeventiende
18 achttien achttiende
19 negentien negentiende
20 twintig twintigste
30 dertig dertigste
40 veertig veertigste
50 vijftig vijftigste
60 zestig zestigste
70 zeventig zeventigste
80 tachtig tachtigste
90 negentig negentigste
100 honderd honderdste
1000 duizend duizendste
1000000 miljoen miljoenste
1000000000 miljard miljardste
