bra dårlig
dag natt
dårlig bra
elske hate
etter før
falsk sann
fattig rik
fjern nær
full tom
før etter
gammel ny
gi ta
hate elske
høy lav
inne ute
ja nei
kald varm
kjøpe selge
langsom rask
lav høy
lett vanskelig
liten stor
lukket åpen
lys mørk
mørk lys
natt dag
ned opp
nei ja
ny gammel
nær fjern
opp ned
rask langsom
rik fattig
sann falsk
selge kjøpe
sent tidlig
slutt start
start slutt
sterk svak
stor liten
svak sterk
ta gi
tape vinne
tidlig sent
tom full
ute inne
vanskelig lett
varm kald
vinne tape
åpen lukket
