0 null
1 en første
2 to andre
3 tre tredje
4 fire fjerde
5 fem femte
6 seks sjette
7 sju sjuende
8 åtte åttende
9 ni niende
10 ti tiende
11 elleve ellevte
12 tolv tolvte
13 tretten trettende
14 fjorten fjortende
15 femten femtende
16 seksten sekstende
17 sytten syttende
18 atten attende
19 nitten nittende
20 tjue tjuende
30 tretti trettiende
40 førti førtiende
50 femti femtiende
60 seksti sekstiende
70 sytti syttiende
80 åtti åttiende
90 nitti nittiende
100 hundre hundrede
1000 tusen tusende
1000000 million
1000000000 milliard
