bedzie będzie
bezpieczenstwo bezpieczeństwo
chce chcę
chuligan huligan
cos coś
czesc cześć
dostepny dostępny
dzialanie działanie
dziekuje dziękuję
dzien dzień
dziubek dzióbek
glowna główna
gorzej gożej
gotowka gotówka
gura góra
haslo hasło
hmura chmura
huj chuj
jesli jeśli
jusz już
kondolencje kondolecje
krul król
ksiazka książka
ksiegowosc księgowość
ktos ktoś
ktury który
lodz łódź
milosc miłość
moge mogę
muwi mówi
napewno pewno
naprawde naprawdę
narazie razie
nastepny następny
oglądnąć obejrzeć
oplata opłata
panstwo państwo
pieniadze pieniądze
pierszy pierwszy
platnosc płatność
poczatek początek
polaczenie połączenie
poszlem poszedłem
poszłem poszedłem
przekonywujacy przekonujący
przekonywujący przekonujący
przesylka przesyłka
psychiczny psyhiczny
rowniez również
rozumiem rozumie
rzeba żeba
sklad skład
sprzedaz sprzedaż
standard standart
swetr sweter
swiat świat
tez też
tszeba trzeba
umią umieją
uslugi usługi
uzytkownik użytkownik
wcale wogle
wiadomosc wiadomość
wiec więc
wiecej więcej
wlaczyc włączyć
wlanczac włączać
wlasnie właśnie
wogóle ogóle
wollny wolny
wplata wpłata
wroclaw wrocław
wrucic wrócić
wylaczyc wyłączyć
wylanczac wyłączać
wyplata wypłata
wziasc wziąć
wziełam wzięłam
wziełem wziąłem
wziąść wziąć
włanczać włączać
włączyć włanczyć
zaklad zakład
zamowienie zamówienie
zaziębić przeziębić
zdięcia zdjęcia
zeby żeby
zolty żółty
żaden rzaden
żeby rzeby
