0 zero
1 jeden pierwszy
2 dwa drugi
3 trzy trzeci
4 cztery czwarty
5 pięć piąty
6 sześć szósty
7 siedem siódmy
8 osiem ósmy
9 dziewięć dziewiąty
10 dziesięć dziesiąty
11 jedenaście jedenasty
12 dwanaście dwunasty
13 trzynaście trzynasty
14 czternaście czternasty
15 piętnaście piętnasty
16 szesnaście szesnasty
17 siedemnaście siedemnasty
18 osiemnaście osiemnasty
19 dziewiętnaście dziewiętnasty
20 dwadzieścia dwudziesty
30 trzydzieści trzydziesty
40 czterdzieści czterdziesty
50 pięćdziesiąt pięćdziesiąty
60 sześćdziesiąt sześćdziesiąty
70 siedemdziesiąt siedemdziesiąty
80 osiemdziesiąt osiemdziesiąty
90 dziewięćdziesiąt dziewięćdziesiąty
100 sto setny
1000 tysiąc tysięczny
1000000 milion milionowy
1000000000 miliard miliardowy
