abilidade habilidade
abilidades habilidades
abitual habitual
absteram abstiveram
absteu absteve
acelarar acelerar
acelaração aceleração
acessiveis acessíveis
acessivel acessível
acessora assessora
acessoras assessoras
acessores assessores
acessoria assessoria
acessorio acessório
acessorios acessórios
aconselhaveis aconselháveis
aconselhavel aconselhável
actris atriz
acustica acústica
acusticas acústicas
acustico acústico
acusticos acústicos
adevogados advogados
adimite admite
adimitir admitir
adimitiram admitiram
adimitiu admitiu
adiquire adquire
adiquirem adquirem
adiquirida adquirida
adiquiridas adquiridas
adiquirido adquirido
adiquiridos adquiridos
adiquirindo adquirindo
adiquirir adquirir
adiquiriu adquiriu
adivinhar advinhar
admnistaado administraado
admnistaador administraador
admnistar administrar
admnistrar administra
admnistrativa administrativa
admnistrativas administrativas
admnistrativo administrativo
admnistrativos administrativos
admnistração administra
adolescencia adolescência
advinhar adivinhar
aerosol aerossol
africa áfrica
agencia agência
agente gente
agradaveis agradáveis
agradavel agradável
agricola agrícola
agricolas agrícolas
agua água
aguas águas
aguns alguns
aki aqui
alcoois álcoois
alcool álcool
aleatoria aleatória
aleatorias aleatórias
aleatorio aleatório
aleatorios aleatórios
aleatóriamente aleatoriamente
algeriano argelino
algerino argelino
algorítimo algoritmo
alguem alguém
algus alguns
alianca aliança
aliancas alianças
altoridade autoridade
altoridades autoridades
aluminio alumínio
aluminios alumínios
amanha amanhã
amargúra amargura
amargúria amargura
ambito âmbito
ambitos âmbitos
ambulancia ambulância
ambulancias ambulâncias
anciosa ansiosa
anciosamente ansiosamente
anciosas ansiosas
ancioso ansioso
anciosos ansiosos
anemona anémona
anglofona anglófona
anglofonas anglófonas
anglofono anglófono
anglofonos anglófonos
angulo ângulo
angulos ângulos
animacão animação
aniquilacao aniquilação
antepôr antepor
antidiluviano antediluviano
anuciado anunciado
anuncio anúncio
análize análise
ançiosa ansiosa
ançiosamente ansiosamente
ançiosas ansiosas
ançioso ansioso
ançiosos ansiosos
aparencia aparência
aparencias aparências
apareçe aparece
apareçem aparecem
apareçeu apareceu
apartir partir
apezar apesar
apixonada apaixonada
apixonadas apaixonadas
apixonado apaixonado
apixonados apaixonados
aplicaçao aplicação
aproximadamete aproximadamente
aracajú aracaju
areas áreas
aristocratica aristocrática
aristocraticas aristocráticas
aristocratico aristocrático
aristocraticos aristocráticos
aritimética aritmética
aritiméticas aritméticas
armonia harmonia
arquipelago arquipélago
arquipelagos arquipélagos
artistica artística
artisticas artísticas
artistico artístico
artisticos artísticos
ascençao ascensão
asia ásia
asiatica asiática
asim assim
assembléia assembleia
assembléias assembleias
assistencia assistência
associção associação
aste haste
asterisco asterístico
asterístico asterisco
asterísticos asteriscos
ateismo ateísmo
ateleta atleta
aterisagem aterrissagem
aterissagem aterrissagem
aterrisaagem aterrissagem
aterrizaagem aterrissagem
atipica atípica
atipicas atípicas
atipico atípico
atipicos atípicos
atraves através
atravez através
atravéz através
atribue atribui
atribuida atribuída
atribuidas atribuídas
atribuido atribuído
atribuidos atribuídos
atris atriz
atríbuida atribuída
atríbuidas atribuídas
atríbuido atribuído
atríbuidos atribuídos
audiencia audiência
audiencias audiências
ausencia ausência
ausencias ausências
autentica autêntica
autenticas autênticas
autentico autêntico
autenticos autênticos
automoveis automóveis
automovel automóvel
automáticamente automaticamente
automáticamete automaticamente
autopsia autópsia
autoretrato autorretrato
autoretratos autorretratos
aver haver
aviao avião
avogrado avogadro
avulsso avulso
azaléia azálea
azas asas
azerbeijão azerbaijão
azuleijo azulejo
açoes acções
açoreana açoriana
açoreanas açorianas
açoreano açoriano
açoreanos açorianos
açucar açúcar
bahiana baiana
bahianas baianas
bahiano baiano
bahianos baianos
bancarota bancarrota
bandeija bandeja
bandeijão bandejão
barbarie barbárie
barbaries barbáries
bastate bastante
baínha bainha
baínhas bainhas
beneficencia beneficência
beneficiencia beneficência
beneficiente beneficente
beneficientes beneficentes
beneficio benefício
beneficios benefícios
beneficência beneficiência
benta venta
benção bênção
bençãos bênçãos
bevocar invocar
bicicleta bicicreta
biograifa biografia
biograifas biografias
biópsia biopsia
biópsias biopsias
boeiro bueiro
bordero borderô
brasilia brasília
brazil brasil
britanico britânico
britanicos britânicos
burduada bordoada
burduadas bordoadas
buscão buscam
bussula bússola
bébe bebé
bébes bebés
bébé bebé
bébés bebés
ca cá
cabeca cabeça
cabecas cabeças
cabeleireiro cabelereiro
cabelereira cabeleireira
cabelereiras cabeleireiras
cabelereiro cabeleireiro
cabelereiros cabeleireiros
cadaço cadarço
caido caído
caiem caem
calsado calçado
calvice calvície
calvíce calvície
camara câmara
cambio câmbio
cambios câmbios
camera câmera
caminhoes caminhões
camioes camiões
campeao campeão
campeoes campeões
campiao campeão
campioes campeões
campionato campeonato
campionatos campeonatos
campião campeão
campiões campeões
camêra câmera
camêras câmeras
capitulo capítulo
capitulos capítulos
caracteristica característica
caracteristicas características
caracteristico característico
caracteristicos característicos
caractér caracter
carangueijo caranguejo
caranguejo carangueijo
carissimo caríssimo
cassetinho cacetinho
catalizada catalisada
catalizado catalisado
catalizador catalisador
catalizadora catalisadora
catalizar catalisar
catalize catálise
catalogo catálogo
catalogos catálogos
catequisa catequiza
catequisado catequizado
catequisador catequizador
catequisar catequizar
catequisas catequizas
catequiso catequizo
catálize catálise
cazamento casamento
ceara ceará
ceiar cear
celula célula
celulas células
cemiterio cemitério
cemiterios cemitérios
cenario cenário
cenarios cenários
cerveija cerveja
cerveijaria cervejaria
chamda chamada
chamdo chamado
chaveco xaveco
chingar xingar
ciclano siclano
cidadães cidadãos
cidadões cidadãos
ciencia ciência
ciencias ciências
cientifica científica
cientificas científicas
cientifico científico
cientificos científicos
circulo círculo
circulos círculos
classica clássica
classicas clássicas
classico clássico
classicos clássicos
clinica clínica
cms cm
coadopção coadoção
coalisão coalizão
coalisões coalizões
cociderada considerada
cocideradas consideradas
cociderado considerado
cociderados considerados
coerencia coerência
coerencias coerências
cohabitação coabitação
comeca começa
comecam começam
comecar começar
comecas começas
comecou começou
comedia comédia
comercio comércio
comercios comércios
comisao comissão
comisoes comissões
comissao comissão
comisões comissões
comnosco connosco
compania companhia
companias companhias
comporam compuseram
comprimento cumprimento
compôr compor
concegue consegue
concegues consegues
conceguir conseguir
concerteza certeza
conciderada considerada
concideradas consideradas
conciderado considerado
conciderados considerados
conclue conclui
concluíndo concluindo
concluíu concluiu
concretisar concretizar
condicao condição
condissao condição
condissão condição
condiçao condição
conecção conexão
conecções conexões
confudir confundir
conhecidência coincidência
conseguírem conseguirem
consite consiste
consitem consistem
constituia constituía
constituiam constituíam
constituiram constituíram
constroi constrói
construcao construção
construia construía
contemporaneo contemporâneo
contemporaneos contemporâneos
conteram contiveram
contesse contivesse
contessem contivessem
conteu conteve
contiam continham
continar continuar
continou continuou
contratato contratado
contratatos contratados
contribue contribui
contribuira contribuíra
contribuiram contribuíram
contrucao construção
contruir construir
contrução construção
convidade convidado
convidades convidados
coracao coração
corinthiana corintiana
corinthianas corintianas
corinthiano corintiano
corinthianos corintianos
cornea córnea
corneas córneas
corografico corográfico
corograficos corográficos
corrijiam corrigiam
corrijir corrigir
corrijiram corrigiram
corçario corsário
creação criação
crecer crescer
criacao criação
criaçao criação
cristianizacao cristianização
cristianizacoes cristianizações
cristianizacão cristianização
cristianizacões cristianizações
cronológicamente cronologicamente
crueis cruéis
crâneo crânio
crâneos crânios
crítíca crítica
crítícas críticas
crítíco crítico
crítícos críticos
culinaria culinária
custuma costuma
custumava costumava
custumavam costumavam
custume costume
custumes costumes
cãimbra cãibra
côco coco
côr cor
côres cores
cú cu
decada década
decadas décadas
decadencia decadência
decadencias decadências
decembro dezembro
decer descer
deceram desceram
declinio declínio
declinios declínios
defenido definido
defenir definir
defeniçao definição
defenição definição
defenições definições
definitamente definitivamente
deicha deixa
deichando deixando
deichar deixar
deicharia deixaria
deichava deixava
deiche deixe
deichou deixou
deisponiveis disponíveis
delecção deleção
democratica democrática
depedente dependente
depedentes dependentes
deposito depósito
depositos depósitos
derrepente repente
des dis
desaconselhaveis desaconselháveis
desaconselhavel desaconselhável
desagradaveis desagradáveis
desagradavel desagradável
descompôr descompor
desconfianca desconfiança
descubre descobre
descubrimento descobrimento
descubrimentos descobrimentos
descubrir descobrir
descubriram descobriram
descubrire descobrire
desembro dezembro
desesseis dezesseis
deseçeis dezesseis
desinteria disenteria
desnecessario desnecessário
despois depois
desprotejida desprotegida
desprotejidas desprotegidas
desprotejido desprotegido
desprotejidos desprotegidos
desretencio desretensio
desretencios desretensios
destribuição distribuição
destroi destrói
desvanescer desvanecer
deteram detiveram
detesse detivesse
detessem detivessem
deteu deteve
detia detinha
detiam detinham
deviamos devíamos
diagnostico diagnóstico
diagnosticos diagnósticos
diaria diária
diario diário
dibre drible
diferencas diferenças
dificil difícil
dificulidade dificuldade
difrente diferente
difrentes diferentes
difusao difusão
dignataria dignitária
dignatarias dignitárias
dignatario dignitário
dignatarios dignitários
dignatária dignitária
dignatárias dignitárias
dignatário dignitário
dignatários dignitários
dignitaria dignitária
dignitarias dignitárias
dignitario dignitário
dignitarios dignitários
dijitara digitara
diminue diminui
dinamico dinâmico
dirgida dirigida
dirgidas dirigidas
dirgido dirigido
dirgidos dirigidos
disastre desastre
disastres desastres
discursso discurso
discursão discussão
discuções discussões
disenteria desinteria
dispender despender
dispenderam despenderam
dispendio dispêndio
dispendios dispêndios
disperdiça desperdiça
distorçer distorcer
distribuida distribuída
distribuidas distribuídas
distribuido distribuído
distribuidos distribuídos
distribuídor distribuidor
distribuídora distribuidora
disturbio distúrbio
disturbios distúrbios
diverssas diversas
diverssos diversos
diáriamente diariamente
documentario documentário
documentarios documentários
dojinshi dōjinshi
dragao dragão
druída druida
druídas druidas
dsenho desenho
durmi dormi
duvidas dúvidas
díficeis difíceis
díficil difícil
dôjinshi dōjinshi
dôou doou
ecessões exceções
eciclopedia enciclopédia
eciclopedias enciclopédias
eciclopédia enciclopédia
eciclopédias enciclopédias
ecrão ecrã
ect etc
efervecência efervescência
egipcios egípcios
egipsio egípcio
elacção elação
eletroima eletroímã
eletroimã eletroímã
eletronico eletrónico
eletronicos eletrónicos
elice hélice
eminencia eminência
eminencias eminências
eminentemente iminentemente
eminência iminência
empecilho impecilho
empresario empresário
empresarios empresários
enfase ênfase
enfases ênfases
enquando enquanto
entao então
entertido entretido
entitula intitula
entitulada intitulada
entituladas intituladas
entitulado intitulado
entitulados intitulados
entitular intitular
entreteram entretiveram
entreterimento entretenimento
entretesse entretivesse
entretessem entretivessem
entreteu entreteve
entretia entretinha
entretiam entretinham
envés invés
enígma enigma
epecial especial
epica épica
epicas épicas
epico épico
epicos épicos
episodio episódio
episodios episódios
eplepsia epilepsia
epoca época
epocas épocas
