белый черный
большой маленький
быстро медленно
быстрый медленный
вверх вниз
взять дать
вниз вверх
внутри снаружи
вперед назад
вход выход
высокий низкий
выход вход
горячий холодный
да нет
дать взять
день ночь
длинный короткий
жизнь смерть
закрыть открыть
конец начало
короткий длинный
купить продать
левый правый
легкий тяжелый
легко трудно
ложь правда
любить ненавидеть
маленький большой
мало много
медленно быстро
медленный быстрый
минус плюс
много мало
назад вперед
начало конец
ненавидеть любить
нет да
низкий высокий
новый старый
ночь день
открыть закрыть
плохо хорошо
плохой хороший
плюс минус
победа поражение
поздно рано
позже раньше
полный пустой
поражение победа
правда ложь
правый левый
приход уход
продать купить
пустой полный
рано поздно
раньше позже
свет тьма
сильный слабый
слабый сильный
смерть жизнь
снаружи внутри
старый новый
трудно легко
тьма свет
тяжелый легкий
уход приход
холодный горячий
хороший плохой
хорошо плохо
черный белый
