# A word and its opposite, one pair per line.
blízko ďaleko
bohatý chudobný
chudobný bohatý
dať vziať
deň noc
dobrý zlý
dole hore
hore dole
koniec začiatok
kúpiť predať
lož pravda
malý veľký
milovať nenávidieť
nenávidieť milovať
neskoro skoro
nie áno
noc deň
nový starý
nízky vysoký
otvorený zatvorený
plný prázdny
po pred
pomalý rýchly
pravda lož
pred po
predať kúpiť
prehrať vyhrať
prázdny plný
rýchly pomalý
silný slabý
skoro neskoro
slabý silný
starý nový
studený teplý
svetlý tmavý
teplý studený
tmavý svetlý
veľký malý
vnútri vonku
vonku vnútri
vyhrať prehrať
vysoký nízky
vziať dať
zatvorený otvorený
začiatok koniec
zlý dobrý
áno nie
ďaleko blízko
ľahký ťažký
ťažký ľahký
