# Words habitually confused for each other, one group per line.
abi aby
aboj ahoj
ahij ahoj
aiebo alebo
akobi akoby
akoze akože
akurat akurát
aky aký
akí aký
akíkoľvek akýkoľvek
aldbo alebo
alefo alebo
americkí americký
andi andy
anglicki anglicky
ano áno
any ani
aspon aspoň
asy asi
autobuz autobus
avsak avšak
az až
babi baby
bal bál
bat báť
bavit baviť
bať báť
bezpecnost bezpečnosť
bezpečnost bezpečnosť
bhde bude
bhdem budem
bhdeme budeme
bhdeš budeš
bi by
bicikel bicykel
bieli biely
bila bola
bilo bolo
bistrý bystrý
bit byt
bitosť bytosť
bivol byvol
biť byť
biže bože
blazon blázon
blbí blbý
blizko blízko
blískať blýskať
blýzko blízko
bodi body
bohatí bohatý
bohužial bohužiaľ
boia bola
boio bolo
bojovat bojovať
bolest bolesť
boze bože
brat brať
buce bude
bucem budem
buceš budeš
buddm budem
buddme budeme
buddš budeš
budehe budeme
budes budeš
budu budú
buduci budúci
buducnost budúcnosť
buducnosť budúcnosť
budúcnost budúcnosť
budúcy budúci
byll bill
byt byť
bát báť
bík býk
bívalí bývalý
bívať bývať
caj čaj
cakat čakať
cakať čakať
cas čas
casom časom
cast časť
casto často
casť časť
cau čau
cdlý celý
ceiý celý
cely celý
celí celý
chciet chcieť
chcyeť chcieť
chiba chyba
chitiť chytiť
chitrí chytrý
chlapce chlapče
chlapik chlapík
chlapýk chlapík
chodit chodiť
chodyť chodiť
chory chorý
chorí chorý
chranit chrániť
chraniť chrániť
chrbat chrbát
chránit chrániť
chut chuť
chytit chytiť
chíbať chýbať
chýbat chýbať
ci či
ciel cieľ
cierny čierny
cislo číslo
cisty čistý
cistý čistý
citat čítať
citi city
citit cítiť
citiť cítiť
clovece človeče
clovek človek
coho čoho
cokolvek čokoľvek
cokoľvek čokoľvek
comu čomu
coskoro čoskoro
coze čože
ctihodnost ctihodnosť
cyeľ cieľ
cyty city
císlo číslo
cítať čítať
cítit cítiť
cýtyť cítiť
dakujem ďakujem
dalej ďalej
daleko ďaleko
dalsi ďalší
další ďalší
dama dáma
darcek darček
dat dať
davat dávať
davať dávať
davno dávno
davyd david
dbes dnes
dcera dcéra
ddti deti
defi deti
den deň
desat desať
detektiv detektív
detektýv detektív
deti detí
dety deti
detý detí
devät deväť
dibre dobre
dibrý dobrý
dich dych
didťa dieťa
dieta dieťa
dievca dievča
dievcatko dievčatko
diho dlho
dimov domov
diskuzia diskusia
distať dostať
disť dosť
divní divný
djeťa dieťa
dlbo dlho
dlhsie dlhšie
dlhy dlhý
dlhí dlhý
dlhšye dlhšie
dnds dnes
dnešní dnešný
doať dosť
dobde dobre
dobdý dobrý
dobitok dobytok
dobry dobrý
dobrí dobrý
dockat dočkať
dofre dobre
dofrý dobrý
dohov domov
dohromadi dohromady
dokaz dôkaz
dokazat dokázať
dokazať dokázať
dokonalí dokonalý
dokoncit dokončiť
dokonciť dokončiť
dokončit dokončiť
dokopi dokopy
dokázat dokázať
domiv domov
dorucenie doručenie
dosfať dostať
dospelí dospelý
dost dosť
dostat dostať
dostojnik dôstojník
dostqť dostať
dovnutra dovnútra
dovod dôvod
dovolit dovoliť
dovolyť dovoliť
dovtedi dovtedy
dočkat dočkať
drahy drahý
drahí drahý
druhy druhý
druhí druhý
drzat držať
drzať držať
držat držať
dvakrat dvakrát
dyevča dievča
dyevčatko dievčatko
