0 noll
1 ett första
2 två andra
3 tre tredje
4 fyra fjärde
5 fem femte
6 sex sjätte
7 sju sjunde
8 åtta åttonde
9 nio nionde
10 tio tionde
11 elva elfte
12 tolv tolfte
13 tretton trettonde
14 fjorton fjortonde
15 femton femtonde
16 sexton sextonde
17 sjutton sjuttonde
18 arton artonde
19 nitton nittonde
20 tjugo tjugonde
30 trettio trettionde
40 fyrtio fyrtionde
50 femtio femtionde
60 sextio sextionde
70 sjuttio sjuttionde
80 åttio åttionde
90 nittio nittionde
100 hundra hundrade
1000 tusen tusende
1000000 miljon
1000000000 miljard
