# A word and its opposite, one pair per line.
# Tamil script.
நல்லது கெட்டது
கெட்டது நல்லது
பெரிய சிறிய
சிறிய பெரிய
மேலே கீழே
கீழே மேலே
உள்ளே வெளியே
வெளியே உள்ளே
முன்னே பின்னே
பின்னே முன்னே
வா போ
போ வா
எளிது கடினம்
கடினம் எளிது
புதிய பழைய
பழைய புதிய
வெப்பம் குளிர்
குளிர் வெப்பம்
திற மூடு
மூடு திற
வாங்கு விற்று
விற்று வாங்கு
வெற்றி தோல்வி
தோல்வி வெற்றி
உண்மை பொய்
பொய் உண்மை
சரி தவறு
தவறு சரி
அதிகம் குறைவு
குறைவு அதிகம்
பலம் பலவீனம்
பலவீனம் பலம்
நீளம் குறுகியது
குறுகியது நீளம்
கனமான இலகுவான
இலகுவான கனமான
வெளிச்சம் இருள்
இருள் வெளிச்சம்
பகல் இரவு
இரவு பகல்
ஆம் இல்லை
இல்லை ஆம்
தூரம் அருகில்
அருகில் தூரம்
வலது இடது
இடது வலது
வேகம் மந்தம்
மந்தம் வேகம்
தொடக்கம் முடிவு
முடிவு தொடக்கம்
வாழ்வு சாவு
சாவு வாழ்வு
நண்பன் எதிரி
எதிரி நண்பன்
பாதுகாப்பான ஆபத்தான
ஆபத்தான பாதுகாப்பான
பணக்காரன் ஏழை
ஏழை பணக்காரன்
