# A word and its opposite, one pair per line.
# Telugu script.
మంచి చెడు
చెడు మంచి
పెద్ద చిన్న
చిన్న పెద్ద
పైన కింద
కింద పైన
లోపల బయట
బయట లోపల
ముందు వెనుక
వెనుక ముందు
రా వెళ్ళు
వెళ్ళు రా
సులభం కష్టం
కష్టం సులభం
కొత్త పాత
పాత కొత్త
వేడి చల్లని
చల్లని వేడి
తెరువు మూయి
మూయి తెరువు
కొను అమ్ము
అమ్ము కొను
గెలుపు ఓటమి
ఓటమి గెలుపు
నిజం అబద్ధం
అబద్ధం నిజం
సరి తప్పు
తప్పు సరి
ఎక్కువ తక్కువ
తక్కువ ఎక్కువ
బలం బలహీనత
బలహీనత బలం
పొడవు పొట్టి
పొట్టి పొడవు
బరువు తేలిక
తేలిక బరువు
వెలుగు చీకటి
చీకటి వెలుగు
పగలు రాత్రి
రాత్రి పగలు
అవును కాదు
కాదు అవును
దూరం దగ్గర
దగ్గర దూరం
కుడి ఎడమ
ఎడమ కుడి
వేగం నెమ్మది
నెమ్మది వేగం
ప్రారంభం ముగింపు
ముగింపు ప్రారంభం
జీవితం మరణం
మరణం జీవితం
స్నేహితుడు శత్రువు
శత్రువు స్నేహితుడు
సురక్షితం ప్రమాదకరం
ప్రమాదకరం సురక్షితం
ధనవంతుడు పేదవాడు
పేదవాడు ధనవంతుడు
