# Words habitually confused for each other, one group per line.
# Telugu script. wrong right. The big classes are ఋ written as రి/రు, the
# aspirated letters written unaspirated, శ/ష/స, ణ/న, ళ/ల, ఱ/ర and the
# retroflex/dental pairs ట/త and డ/ద.
రిషి ఋషి
రుణం ఋణం
క్రిష్ణ కృష్ణ
వ్రుద్ధి వృద్ధి
మ్రుత్యువు మృత్యువు
సంస్క్రుతం సంస్కృతం
ప్రుథ్వి పృథ్వి
హ్రుదయం హృదయం
గ్రుహం గృహం
ద్రుష్టి దృష్టి
స్రుష్టి సృష్టి
త్రుప్తి తృప్తి
వ్రుత్తి వృత్తి
మ్రుదువు మృదువు
న్రుత్యం నృత్యం
కచ్చితం ఖచ్చితం
ముక్యం ముఖ్యం
సంక్య సంఖ్య
గనత ఘనత
మేగం మేఘం
చాయ ఛాయ
అచ్చం అచ్ఛం
జరి ఝరి
టీవి ఠీవి
డిల్లీ ఢిల్లీ
అర్దం అర్థం
కత కథ
గ్రందం గ్రంథం
దర్మం ధర్మం
పలం ఫలం
పోన్ ఫోన్
లాబం లాభం
బాష భాష
బారతదేశం భారతదేశం
దన్యవాదాలు ధన్యవాదాలు
అబిప్రాయం అభిప్రాయం
ప్రబుత్వం ప్రభుత్వం
సంబందం సంబంధం
అనుబందం అనుబంధం
బందు బంధు
సిద్దం సిద్ధం
బుద్ది బుద్ధి
యుద్దం యుద్ధం
శుద్దం శుద్ధం
వృద్దుడు వృద్ధుడు
మద్య మధ్య
సాద్యం సాధ్యం
విద్యార్ది విద్యార్థి
స్వార్ధం స్వార్థం
సమర్ధుడు సమర్థుడు
ప్రార్ధన ప్రార్థన
విస్వం విశ్వం
సాంతి శాంతి
దోసం దోషం
భాసా భాషా
కస్టం కష్టం
స్పస్టం స్పష్టం
విస్ణు విష్ణు
సక్తి శక్తి
సబ్దం శబ్దం
సరీరం శరీరం
సత్రువు శత్రువు
మనుసుడు మనుష్యుడు
పురుసుడు పురుషుడు
సంతోసం సంతోషం
ప్రవేసం ప్రవేశం
ఉపదేసం ఉపదేశం
దేసం దేశం
విసేషం విశేషం
సివుడు శివుడు
సుభం శుభం
గనం గణం
ప్రానం ప్రాణం
మని మణి
కోనం కోణం
వర్నం వర్ణం
పున్యం పుణ్యం
కర్నుడు కర్ణుడు
బానం బాణం
కళ్యానం కళ్యాణం
ప్రమానం ప్రమాణం
నిర్నయం నిర్ణయం
కల కళ
కలాశాల కళాశాల
తెళుపు తెలుపు
తెళుగు తెలుగు
కల్లు కళ్ళు
మళయాలం మలయాళం
పఱుగు పరుగు
ఎఱుపు ఎరుపు
మఱి మరి
కఱవు కరువు
పత్తు పట్టు
గుది గుడి
వాదు వాడు
కుర్రాదు కుర్రాడు
ఆత ఆట
నాతకం నాటకం
పతం పటం
కోత కోట
మాతలు మాటలు
బది బడి
కంటం కంఠం
ఇంక ఇంకా
చాల చాలా
ఆవసరం అవసరం
ఆపీసు ఆఫీసు
బ్యాంక్ బ్యాంకు
కాతా ఖాతా
కంప్యుటర్ కంప్యూటర్
ఇంటర్నెట ఇంటర్నెట్
వున్నాడు ఉన్నాడు
వుంది ఉంది
వూరు ఊరు
యిల్లు ఇల్లు
యిది ఇది
కూడ కూడా
ఐతే అయితే
ఏమిటీ ఏమిటి
ఎక్కడా ఎక్కడ
అంత అంతా
పండగ పండుగ
పాస్వర్డ్ పాస్‌వర్డ్
ఆన్లైన్ ఆన్‌లైన్
డౌన్లోడ్ డౌన్‌లోడ్
ఇన్స్టాల్ ఇన్‌స్టాల్
సాఫ్ట్వేర్ సాఫ్ట్‌వేర్
ఇన్బాక్స్ ఇన్‌బాక్స్
అప్గ్రేడ్ అప్‌గ్రేడ్
డాష్బోర్డ్ డాష్‌బోర్డ్
సైన్ఇన్ సైన్‌ఇన్
బ్లాక్చెయిన్ బ్లాక్‌చెయిన్
ఎక్స్ప్రెస్ ఎక్స్‌ప్రెస్
ఫీడ్బ్యాక్ ఫీడ్‌బ్యాక్
క్యాష్బ్యాక్ క్యాష్‌బ్యాక్
జాక్పాట్ జాక్‌పాట్
