adele adale
ala âlâ
alisveris alışveriş
antreman antrenman
arastirma araştırma
askeri askerî
ataturk atatürk
ayle aile
azerbeycan azerbaycan
baglanti bağlantı
barsak bağırsak
basvuru başvuru
bağazı bazı
bilader birader
bilgisiyar bilgisayar
birsey birşey
bröton breton
buyuk büyük
calisma çalışma
cocuk çocuk
cuzdan cüzdan
cünup cünüp
deger değer
dinazor dinozor
dini dinî
direk direkt
dogrula doğrula
dogum doğum
döküman doküman
dükkan dükkân
egzoz eksoz
eksoz egzoz
emir emîr
emirlik emîrlik
eylence eğlence
eyri eğri
eşortman eşofman
eşşek eşek
filim film
gecerli geçerli
giris giriş
guncelle güncelle
gunes güneş
guvenli güvenli
guvenlik güvenlik
harbi harbî
hazimet hezimet
herkez herkes
hesabim hesabım
hükümet hükûmet
iddaa iddia
iletisim iletişim
inkilab inkılap
inkilap inkılap
inkilâp inkılap
inkılab inkılap
inkılâb inkılap
istanbul i̇stanbul
i̇stambul i̇stanbul
jole jöle
kabze kabza
kavonoz kavanoz
kitab kitap
kitapevi kitabevi
kucuk küçük
kuvantum kuantum
kânunuevel kânunuevvel
küsür küsur
kütübhane kütüphane
kütübhâne kütüphane
kıredi kredi
lutfen lütfen
magaza mağaza
mahçup mahcup
makina makine
mağnezit magnezit
metin metîn
muane muayene
musteri müşteri
müdüre müdire
mütevazi mütevazı
nar nâr
nümizmatik nümismatik
ocakı ocağı
odeme ödeme
ogrenci öğrenci
orjinal orijinal
oruspu orospu
pantalon pantolon
pisiklet bisiklet
poğaça poaça
provakatör provokatör
rahim rahîm
ramen rağmen
röpörtaj röportaj
röpörtajı röportajı
saglik sağlık
sehir şehir
sifre şifre
sirket şirket
solusyon solüsyon
sozlesme sözleşme
süpriz sürpriz
tabi tabii
tesbih tespih
tesekkur teşekkür
tezgah tezgâh
teşfik teşvik
teşrinievel teşrinievvel
tospağa tosbağa
transeksüellik transseksüellik
traş tıraş
turkiye türkiye
tükrük tükürük
ucretsiz ücretsiz
ukranya ukrayna
universite üniversite
uyelik üyelik
vekalet vekâlet
yalnis yanlış
yalnış yanlış
yanlız yalnız
yasam yaşam
yeyin yiyin
yonetim yönetim
zamı zammı
zeka zekâ
çiğ çiy
ötenazi ötanazi
şaaşaa şaşaa
şaaşaalı şaşaalı
şarz şarj
şaşa şaşaa
şaşalı şaşaalı
şöför şoför
