0 sıfır
1 bir birinci
2 iki ikinci
3 üç üçüncü
4 dört dördüncü
5 beş beşinci
6 altı altıncı
7 yedi yedinci
8 sekiz sekizinci
9 dokuz dokuzuncu
10 on onuncu
11 onbir onbirinci
12 oniki onikinci
13 onüç onüçüncü
14 ondört ondördüncü
15 onbeş onbeşinci
16 onaltı onaltıncı
17 onyedi onyedinci
18 onsekiz onsekizinci
19 ondokuz ondokuzuncu
20 yirmi yirminci
30 otuz otuzuncu
40 kırk kırkıncı
50 elli ellinci
60 altmış altmışıncı
70 yetmiş yetmişinci
80 seksen sekseninci
90 doksan doksanıncı
100 yüz yüzüncü
1000 bin bininci
1000000 milyon milyonuncu
1000000000 milyar milyarıncı
