# Words habitually confused for each other, one group per line.
# Tatar in Cyrillic script (39 letters). pkg/kb ships kbdtat and kbdtt102, both Cyrillic; CLDR tt is Cyrillic. Zamanalif/Latin is deliberately not used here.
аазан казан
аайнинг майнинг
аайыз пайыз
ааклагыч саклагыч
аакланган сакланган
ааклык саклык
аалым салым
ааләм каләм
аанель панель
аара кара
аараш караш
аароль пароль
аатч патч
аатыпалу сатыпалу
абфй абый
абыф абый
аввру авыру
авоо авто
авторизациф авторизация
авторрзация авторизация
автҗ авто
авуз авыз
авыб авыл
авыи авыр
авырв авыру
авың авыз
авял авыл
авөр авыр
агая агач
агермедүрт егермедүрт
агерменче егерменче
агза әгза
агпч агач
агъза әгъза
агъзалык әгъзалык
адаин админ
адиес адрес
адмип админ
адресс адрес
адреч адрес
аертем кертем
аерү керү
аеңенче меңенче
аибет кибет
аилек милек
аиллиард миллиард
аинем минем
аичә кичә
аиңәш киңәш
айе әйе
акаунт аккаунт
аккауни аккаунт
акксунт аккаунт
акрен әкрен
акчаа акча
акчс акча
акыа акча
алабугм алабуга
аладуга алабуга
алаи алар
алаоның аларның
аларнын аларның
аларныю аларның
алга елга
алгк алга
алдантулау алдантүләү
алдантуләү алдантүләү
алдантүлаү алдантүләү
алдантүләу алдантүләү
алдантүләх алдантүләү
алданҗүләү алдантүләү
алдаө алдау
алея аллея
алкр алар
алкчы алучы
алра алга
алтиыш алтмыш
алтмыл алтмыш
алтмыоынчы алтмышынчы
алтмышынчө алтмышынчы
алтчйөз алтыйөз
алтчнчы алтынчы
алтыйоз алтыйөз
алтыйөд алтыйөз
алтынчу алтынчы
алтө алты
алучф алучы
алҗы алты
алңау алдау
анчң аның
аныд аның
анын аның
аобиль мобиль
аорпорация корпорация
аотор мотор
аочта почта
апарат аппарат
арендм аренда
арепда аренда
арзив архив
аркадк аркада
аркпда аркада
арткв артка
архич архив
арҗка артка
астагфсызык астагысызык
астагысызыв астагысызык
астыаызык астысызык
астысызыу астысызык
атеа атна
ати әти
атнп атна
атрим стрим
аудил аудио
аулио аудио
аурс курс
аурәт сурәт
аутентийикация аутентификация
аутентификациф аутентификация
аушымта кушымта
ахыт ахыр
ахяр ахыр
ашаилык ашамлык
ашамлыа ашамлык
ашыгыы ашыгыч
ашышыч ашыгыч
аызыл кызыл
аырык кырык
аүзәтү күзәтү
аүчемсез күчемсез
аүчермә күчермә
аәбәп сәбәп
аәгать сәгать
аәгнә мәгнә
аәгълүмат мәгълүмат
аөчле көчле
бабл балл
бабык балык
багк банк
базат базар
балв бала
балыв балык
балә балл
бана банк
банкк банк
барлыв барлык
бароык барлык
бахар базар
бахетле бәхетле
башлак башлау
башлангыя башлангыч
башлпнгыч башлангыч
башшау башлау
бая бәя
баәа бала
бгары югары
бебән белән
бедем белем
безнед безнең
безнен безнең
безпең безнең
белан белән
белдеру белдерү
белдерэ белдерү
белес белем
беллерү белдерү
беләг белән
беренчп беренче
берннче беренче
бидейөз җидейөз
биденче җиденче
битез җитез
бишенчн бишенче
бишйоз бишйөз
бишйөә бишйөз
бишкнче бишенче
бишфөз бишйөз
биңелү җиңелү
биңү җиңү
блоквейн блокчейн
блоклангар блокланган
блоклснган блокланган
блокчейе блокчейн
блор блог
блҗг блог
богус бонус
бозылк бозылу
бозөлу бозылу
болыҗ болыт
бонув бонус
бонын борын
борыг борын
бошыт болыт
броньлаө броньлау
буген бүген
булак бүләк
булек бүлек
булма бүлмә
булмә бүлмә
булфшу булышу
булышы булышу
буләк бүләк
бушлаө бушлай
бушәай бушлай
бүгеп бүген
бүдек бүлек
бүлак бүләк
бүлеу бүлек
бүлма бүлмә
бүлмд бүлмә
бүләу бүләк
бүоен бүген
бүртенче дүртенче
бүҗәк бүләк
бүәмә бүлмә
бәрес дәрес
бәхатле бәхетле
бәхетлк бәхетле
вааыт вакыт
вабинет кабинет
