0 нуль
1 один перший
2 два другий
3 три третій
4 чотири четвертий
5 п’ять п’ятий
6 шість шостий
7 сім сьомий
8 вісім восьмий
9 дев’ять дев’ятий
10 десять десятий
11 одинадцять одинадцятий
12 дванадцять дванадцятий
13 тринадцять тринадцятий
14 чотирнадцять чотирнадцятий
15 п’ятнадцять п’ятнадцятий
16 шістнадцять шістнадцятий
17 сімнадцять сімнадцятий
18 вісімнадцять вісімнадцятий
19 дев’ятнадцять дев’ятнадцятий
20 двадцять двадцятий
30 тридцять тридцятий
40 сорок сороковий
50 п’ятдесят п’ятдесятий
60 шістдесят шістдесятий
70 сімдесят сімдесятий
80 вісімдесят вісімдесятий
90 дев’яносто дев’яностий
100 сто сотий
1000 тисяча тисячний
1000000 мільйон мільйонний
1000000000 мільярд мільярдний
