# A word and its opposite, one pair per line.
# Arabic script, Urdu.
اچھا برا
برا اچھا
بڑا چھوٹا
چھوٹا بڑا
اوپر نیچے
نیچے اوپر
اندر باہر
باہر اندر
آگے پیچھے
پیچھے آگے
آسان مشکل
مشکل آسان
نیا پرانا
پرانا نیا
گرم ٹھنڈا
ٹھنڈا گرم
کھلا بند
بند کھلا
خریدنا بیچنا
بیچنا خریدنا
جیت ہار
ہار جیت
سچ جھوٹ
جھوٹ سچ
صحیح غلط
غلط صحیح
زیادہ کم
کم زیادہ
مضبوط کمزور
کمزور مضبوط
لمبا مختصر
مختصر لمبا
بھاری ہلکا
ہلکا بھاری
روشنی اندھیرا
اندھیرا روشنی
دن رات
رات دن
ہاں نہیں
نہیں ہاں
دور نزدیک
نزدیک دور
دائیں بائیں
بائیں دائیں
تیز آہستہ
آہستہ تیز
شروع آخر
آخر شروع
زندگی موت
موت زندگی
دوست دشمن
دشمن دوست
محفوظ خطرناک
خطرناک محفوظ
امیر غریب
غریب امیر
موٹا پتلا
پتلا موٹا
