# Words habitually confused for each other, one group per line.
# Arabic script, Urdu. wrong right. Two big classes: Urdu letters
# typed as their Arabic lookalikes (ك ي ه for ک ی ہ ے), and the letters
# that are homophonous in Urdu — ز ذ ض ظ all /z/, س ص ث all /s/, ت ط
# both /t/ — so are constantly swapped. Harakat pairs at the end are
# real: do NOT strip the diacritic, that collapses them into self-pairs.
كتاب کتاب
كام کام
كيا کیا
كون کون
ايك ایک
شكريه شکریہ
پاكستان پاکستان
يه یہ
وه وہ
كه کہ
ليكن لیکن
هي ہی
تها تھا
تهي تھی
بهي بھی
مجهي مجھے
اچها اچھا
كهانا کھانا
پهر پھر
سمجه سمجھ
ديكهنا دیکھنا
ركهنا رکھنا
بينك بینک
انٹرنيٹ انٹرنیٹ
كمپيوٹر کمپیوٹر
ايميل ایمیل
ويب ویب
تصديق تصدیق
اكاؤنٹ اکاؤنٹ
كهاته کھاتہ
ادائيگي ادائیگی
دهلي دہلی
كراچي کراچی
لاهور لاہور
حكومت حکومت
تعليم تعلیم
زندگي زندگی
گهر گھر
پاني پانی
كيوں کیوں
كيسي کیسے
كهاں کہاں
هميشه ہمیشہ
ضروري ضروری
تاريخ تاریخ
ملك ملک
شهر شہر
كمپني کمپنی
رابطه رابطہ
ويبسائٹ ویبسائٹ
هندي ہندی
بهارت بھارت
لڑكا لڑکا
لڑكي لڑکی
پڑهنا پڑھنا
چهوٹا چھوٹا
ٹهيك ٹھیک
آٹه آٹھ
ڈاكٹر ڈاکٹر
كروڑ کروڑ
لاكه لاکھ
تہا تھا
تہی تھی
بہی بھی
مجہے مجھے
اچہا اچھا
کہانا کھانا
پہر پھر
سمجہ سمجھ
دیکہنا دیکھنا
رکہنا رکھنا
انترنیت انٹرنیٹ
کمپیوتر کمپیوٹر
پاسورد پاسورڈ
اکاؤنت اکاؤنٹ
کہاتہ کھاتہ
گہر گھر
ویبسائت ویبسائٹ
بہارت بھارت
لرکا لڑکا
لرکی لڑکی
پرھنا پڑھنا
پڑہنا پڑھنا
برا بڑا
چھوتا چھوٹا
چہوٹا چھوٹا
تھیک ٹھیک
ٹہیک ٹھیک
آتھ آٹھ
آٹہ آٹھ
ڈاکتر ڈاکٹر
داکٹر ڈاکٹر
کرور کروڑ
لاکہ لاکھ
ذرور ضرور
زرورت ضرورت
زلم ظلم
نزر نظر
مزہب مذہب
لزت لذت
حازر حاضر
قازی قاضی
زاہر ظاہر
انتزار انتظار
محفوز محفوظ
الفاز الفاظ
زریعہ ذریعہ
تزکرہ تذکرہ
عزاب عذاب
منزور منظور
نزام نظام
حفازت حفاظت
زمہ ذمہ
مزبوط مضبوط
زلع ضلع
سبح صبح
خاس خاص
مخسوس مخصوص
سبوت ثبوت
حصاب حساب
ساحب صاحب
قسور قصور
مسروف مصروف
سابت ثابت
وسول وصول
تسویر تصویر
سفحہ صفحہ
حاسل حاصل
اصلام اسلام
مصئلہ مسئلہ
سحت صحت
سرف صرف
سلاح صلاح
سنعت صنعت
اسر اثر
سقافت ثقافت
تالب طالب
ترف طرف
غلت غلط
شرت شرط
تریقہ طریقہ
متلب مطلب
خترہ خطرہ
تاقت طاقت
تبیعت طبیعت
سلتنت سلطنت
وتن وطن
مہبت محبت
تہریر تحریر
سہیح صحیح
اہمد احمد
ہکومت حکومت
کلم قلم
وکت وقت
تعلک تعلق
اکبال اقبال
لئے لیے
گیے گئے
ہوی ہوئی
کوی کوئی
بھای بھائی
جای جائے
آی آئی
نہی نہیں
می میں
ہی ہیں
ہن ہیں
مین میں
کہان کہاں
یہان یہاں
وہان وہاں
جہان جہاں
نہین نہیں
تقریبا تقریباً
عموما عموماً
فورا فوراً
یقینا یقیناً
مثلا مثلاً
خصوصا خصوصاً
لہذا لہٰذا
تعالی تعالیٰ
اعلی اعلیٰ
مصطفی مصطفیٰ
عیسی عیسیٰ
موسی موسیٰ
دعوی دعویٰ
مرتضی مرتضیٰ
زکوۃ زکوٰۃ
الله اللہ
اپ آپ
انا آنا
ادمی آدمی
اج آج
اخر آخر
ازاد آزاد
امین آمین
اسان آسان
اغاز آغاز
جرات جرأت
مومن مؤمن
بلکل بالکل
خوبسورت خوبصورت
ہمیشا ہمیشہ
زیاده زیادہ
انشااللہ انشاءاللہ
دوباره دوبارہ
برا بڑا
لرکا لڑکا
پرھنا پڑھنا
گر گھر
چوٹا چھوٹا
ٹیک ٹھیک
اتھنا اٹھنا
